DKT_name,DKT,UKB,HCYA,HCA,HCD,ABCD,ANXPE,Yeo
Area of caudalanteriorcingulate (left hemisphere),1002,27143-2.0,lh_caudalanteriorcingulate_area,lh_caudalanteriorcingulate_area,lh_caudalanteriorcingulate_area,lh_caudalanteriorcingulate_area,lh_caudalanteriorcingulate_area,4
Mean thickness of caudalanteriorcingulate (left hemisphere),1002,27174-2.0,lh_caudalanteriorcingulate_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalanteriorcingulate_thickness,4
Volume of caudalanteriorcingulate (left hemisphere),1002,27205-2.0,lh_caudalanteriorcingulate_volume,lh_caudalanteriorcingulate_volume,lh_caudalanteriorcingulate_volume,lh_caudalanteriorcingulate_volume,lh_caudalanteriorcingulate_volume,4
Area of caudalmiddlefrontal (left hemisphere),1003,27144-2.0,lh_caudalmiddlefrontal_area,lh_caudalmiddlefrontal_area,lh_caudalmiddlefrontal_area,lh_caudalmiddlefrontal_area,lh_caudalmiddlefrontal_area,7
Mean thickness of caudalmiddlefrontal (left hemisphere),1003,27175-2.0,lh_caudalmiddlefrontal_thickness,lh_caudalmiddlefrontal_thickness,lh_caudalmiddlefrontal_thickness,lh_caudalmiddlefrontal_thickness,lh_caudalmiddlefrontal_thickness,7
Volume of caudalmiddlefrontal (left hemisphere),1003,27206-2.0,lh_caudalmiddlefrontal_volume,lh_caudalmiddlefrontal_volume,lh_caudalmiddlefrontal_volume,lh_caudalmiddlefrontal_volume,lh_caudalmiddlefrontal_volume,7
Area of cuneus (left hemisphere),1005,27145-2.0,lh_cuneus_area,lh_cuneus_area,lh_cuneus_area,lh_cuneus_area,lh_cuneus_area,1
Mean thickness of cuneus (left hemisphere),1005,27176-2.0,lh_cuneus_thickness,lh_cuneus_thickness,lh_cuneus_thickness,lh_cuneus_thickness,lh_cuneus_thickness,1
Volume of cuneus (left hemisphere),1005,27207-2.0,lh_cuneus_volume,lh_cuneus_volume,lh_cuneus_volume,lh_cuneus_volume,lh_cuneus_volume,1
Area of entorhinal (left hemisphere),1006,27146-2.0,lh_entorhinal_area,lh_entorhinal_area,lh_entorhinal_area,lh_entorhinal_area,lh_entorhinal_area,5
