Schaefer_parcels,Yeo_parcels,Overlap_percent
1,1,100
2,1,100
3,1,100
4,1,100
5,1,100
6,1,85.2941176470588
7,1,100
8,1,100
9,1,98.3783783783784
10,1,100
11,1,98.2062780269058
12,1,100
13,1,100
14,1,100
15,1,100
16,1,100
17,1,100
18,1,100
19,1,100
20,1,100
21,2,97.5124378109453
22,2,93.0555555555556
23,2,100
24,2,100
25,2,100
26,2,100
27,2,79.1666666666667
28,2,100
29,2,100
30,2,84.9137931034483
31,2,99.609375
32,2,100
33,2,72
34,2,100
35,2,100
36,2,93.5
37,2,100
38,2,99.3827160493827
39,2,100
40,2,100
41,2,66.5
42,2,98.9473684210526
43,2,95.364238410596
44,2,64.7058823529412
45,2,100
46,2,99.3421052631579
47,2,100
48,1,77.34375
49,3,85.5421686746988
50,1,50.2145922746781
51,3,66.6666666666667
52,1,67
53,3,91.3419913419913
54,3,99.1596638655462
55,3,100
56,3,89.7590361445783
57,2,39.9239543726236
58,3,100
59,3,75.2613240418118
60,2,59.2178770949721
61,3,99.5744680851064
62,3,89.0151515151515
63,3,53.5911602209945
64,4,78.6764705882353
65,4,97.7941176470588
66,4,95.4773869346734
67,4,100
68,4,86.4253393665158
69,4,84.6153846153846
70,4,86.9444444444444
71,4,62.8930817610063
72,4,95.6896551724138
73,4,54.1935483870968
74,4,60.3658536585366
75,4,57.7868852459016
76,6,83.3333333333333
77,4,53.0769230769231
78,4,93.6936936936937
79,6,35.9447004608295
80,5,89.2857142857143
81,5,99.645390070922
82,5,95.2569169960474
83,5,51.2635379061372
84,5,100
85,5,80.2631578947368
86,5,97.4874371859297
87,5,98.5074626865672
88,5,62.5668449197861
89,6,65
90,6,90.5940594059406
91,6,67.0731707317073
92,3,77.8947368421053
93,3,89.2857142857143
94,3,56.5217391304348
95,6,98.6111111111111
96,4,43.7142857142857
97,6,97.4248927038627
98,6,92.1182266009852
99,3,77.1812080536913
100,6,61.5384615384615
101,7,66.2721893491124
102,6,66.4864864864865
103,6,100
104,6,53.9473684210526
105,6,72
106,6,71.4285714285714
107,7,41.3223140495868
108,6,41.6666666666667
109,6,50.7462686567164
110,6,69.2982456140351
111,7,98.1723237597911
112,7,92.5287356321839
113,7,76.1467889908257
114,7,100
115,7,100
116,7,96.6101694915254
117,7,65.5913978494624
118,7,96.5116279069768
119,7,67.1296296296296
120,7,96.6542750929368
121,7,100
122,5,58.7044534412955
123,7,100
124,7,100
125,7,100
126,7,100
127,7,99.0147783251232
128,7,100
129,7,100
130,7,100
131,7,96.7567567567568
132,7,44.5859872611465
133,7,90.1041666666667
134,7,48.5507246376812
135,7,77.0992366412214
136,6,57.9268292682927
137,7,98.0582524271845
138,7,78
139,7,82.9457364341085
140,7,46.5217391304348
141,7,61.71875
142,7,74.8387096774194
143,5,58.5034013605442
144,1,46.4135021097046
145,1,86.3636363636364
146,7,46.4285714285714
147,7,72.5714285714286
148,7,71.4285714285714
149,7,59.4795539033457
150,4,52.3605150214592
151,1,94.1747572815534
152,1,100
153,1,100
154,1,100
155,1,100
156,1,100
157,1,100
158,1,100
159,1,100
160,1,96.3855421686747
161,1,100
162,1,96.5909090909091
163,1,100
164,1,100
165,1,98.0099502487562
166,1,100
167,1,100
168,1,100
169,1,100
170,1,100
171,2,100
172,2,82.8729281767956
173,2,100
174,2,100
175,2,100
176,2,99.375
177,2,100
178,2,100
179,2,100
180,2,100
181,2,100
182,2,100
183,2,89.0243902439024
184,2,100
185,2,100
186,2,100
187,2,100
188,2,100
189,2,100
190,2,100
191,2,65.9420289855072
192,2,93.1192660550459
193,2,100
194,2,99.5305164319249
195,3,71.191135734072
196,1,64.4736842105263
197,3,57.0469798657718
198,1,75.5555555555556
199,3,87.9807692307692
200,3,95.1456310679612
201,3,99.0566037735849
202,3,93.9655172413793
203,2,72.189349112426
204,3,91.6666666666667
205,3,84.8341232227488
206,2,55.7788944723618
207,3,91.6058394160584
208,3,54.416961130742
209,3,83.6431226765799
210,3,54.2105263157895
211,4,93.9597315436242
212,4,74.8743718592965
213,4,87.7551020408163
214,4,88.659793814433
215,4,45
216,4,98.125
217,4,79.2372881355932
218,4,83.2740213523132
219,4,91.875
220,4,84.3971631205674
221,4,50.2732240437158
222,4,89.4117647058824
223,4,57.2164948453608
224,4,65.3846153846154
225,4,92.1875
226,6,56.4444444444444
227,6,91.6666666666667
228,6,50.314465408805
229,6,65.8959537572254
230,6,78.6666666666667
231,4,95.7957957957958
232,6,50.9505703422053
233,6,51.5151515151515
234,5,99.5594713656388
235,5,73.2142857142857
236,5,99.2957746478873
237,5,98.9795918367347
238,7,63.5220125786163
239,5,100
240,5,99.6551724137931
241,5,97.65625
242,5,90.4191616766467
243,5,87.8787878787879
244,5,45.2127659574468
245,3,77.4193548387097
246,3,51.3333333333333
247,3,51.5527950310559
248,3,74.8427672955975
249,3,57.5268817204301
250,4,54.2372881355932
251,6,100
252,3,78.9719626168224
253,6,88.3495145631068
254,6,66.0377358490566
255,6,70.9480122324159
256,7,58.7878787878788
257,6,100
258,6,99.3710691823899
259,6,100
260,6,100
261,6,81.1475409836066
262,6,65.1960784313726
263,6,49.3243243243243
264,6,93.7888198757764
265,6,96.969696969697
266,7,56.551724137931
267,6,48.1865284974093
268,7,52.1739130434783
269,6,60
270,6,66.1538461538461
271,7,100
272,7,100
273,7,80.2395209580838
274,7,81.5625
275,7,100
276,7,79.6208530805687
277,7,100
278,7,78.9915966386555
279,7,100
280,7,100
281,7,100
282,7,45.6521739130435
283,7,98.2352941176471
284,7,58.5365853658537
285,7,100
286,7,76.5625
287,7,85.7142857142857
288,7,56.969696969697
289,6,42.9447852760736
290,7,46.7980295566502
291,7,74.5341614906832
292,7,61.3636363636364
293,1,55.0335570469799
294,7,82.4786324786325
295,7,96.5217391304348
296,2,97.8260869565217
297,7,64.6464646464647
298,4,59.2964824120603
299,2,55.7971014492754
300,7,58.3333333333333
