UKB,HCP_YA,HCP_Aging,HCP_Development,ABCD,ANXPE,Yeo
27143-2.0,lh_caudalanteriorcingulate_area,lh_caudalanteriorcingulate_area,lh_caudalanteriorcingulate_area,lh_caudalanteriorcingulate_area,lh_caudalanteriorcingulate_area,4
27174-2.0,lh_caudalanteriorcingulate_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalanteriorcingulate_thickness,4
27205-2.0,lh_caudalanteriorcingulate_volume,lh_caudalanteriorcingulate_volume,lh_caudalanteriorcingulate_volume,lh_caudalanteriorcingulate_volume,lh_caudalanteriorcingulate_volume,4
27144-2.0,lh_caudalmiddlefrontal_area,lh_caudalmiddlefrontal_area,lh_caudalmiddlefrontal_area,lh_caudalmiddlefrontal_area,lh_caudalmiddlefrontal_area,7
27175-2.0,lh_caudalmiddlefrontal_thickness,lh_caudalmiddlefrontal_thickness,lh_caudalmiddlefrontal_thickness,lh_caudalmiddlefrontal_thickness,lh_caudalmiddlefrontal_thickness,7
27206-2.0,lh_caudalmiddlefrontal_volume,lh_caudalmiddlefrontal_volume,lh_caudalmiddlefrontal_volume,lh_caudalmiddlefrontal_volume,lh_caudalmiddlefrontal_volume,7
27145-2.0,lh_cuneus_area,lh_cuneus_area,lh_cuneus_area,lh_cuneus_area,lh_cuneus_area,1
27176-2.0,lh_cuneus_thickness,lh_cuneus_thickness,lh_cuneus_thickness,lh_cuneus_thickness,lh_cuneus_thickness,1
27207-2.0,lh_cuneus_volume,lh_cuneus_volume,lh_cuneus_volume,lh_cuneus_volume,lh_cuneus_volume,1
27146-2.0,lh_entorhinal_area,lh_entorhinal_area,lh_entorhinal_area,lh_entorhinal_area,lh_entorhinal_area,5
27177-2.0,lh_entorhinal_thickness,lh_entorhinal_thickness,lh_entorhinal_thickness,lh_entorhinal_thickness,lh_entorhinal_thickness,5
27208-2.0,lh_entorhinal_volume,lh_entorhinal_volume,lh_entorhinal_volume,lh_entorhinal_volume,lh_entorhinal_volume,5
27147-2.0,lh_fusiform_area,lh_fusiform_area,lh_fusiform_area,lh_fusiform_area,lh_fusiform_area,1
27178-2.0,lh_fusiform_thickness,lh_fusiform_thickness,lh_fusiform_thickness,lh_fusiform_thickness,lh_fusiform_thickness,1
27209-2.0,lh_fusiform_volume,lh_fusiform_volume,lh_fusiform_volume,lh_fusiform_volume,lh_fusiform_volume,1
27148-2.0,lh_inferiorparietal_area,lh_inferiorparietal_area,lh_inferiorparietal_area,lh_inferiorparietal_area,lh_inferiorparietal_area,7
27179-2.0,lh_inferiorparietal_thickness,lh_inferiorparietal_thickness,lh_inferiorparietal_thickness,lh_inferiorparietal_thickness,lh_inferiorparietal_thickness,7
27210-2.0,lh_inferiorparietal_volume,lh_inferiorparietal_volume,lh_inferiorparietal_volume,lh_inferiorparietal_volume,lh_inferiorparietal_volume,7
27149-2.0,lh_inferiortemporal_area,lh_inferiortemporal_area,lh_inferiortemporal_area,lh_inferiortemporal_area,lh_inferiortemporal_area,5
27180-2.0,lh_inferiortemporal_thickness,lh_inferiortemporal_thickness,lh_inferiortemporal_thickness,lh_inferiortemporal_thickness,lh_inferiortemporal_thickness,5
27211-2.0,lh_inferiortemporal_volume,lh_inferiortemporal_volume,lh_inferiortemporal_volume,lh_inferiortemporal_volume,lh_inferiortemporal_volume,5
