,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,lh_caudalanteriorcingulate_area,IDP (feature),-0.04070722395733489,0.5049565632368197,0.16017439371490516,neo_n,['age'],HCP_Aging,0.05699408303525566
1,lh_caudalanteriorcingulate_area,age,-0.23821604651287076,2.382709414387836e-15,6.661338147750939e-16,neo_n,['age'],HCP_Aging,0.05699408303525566
2,lh_caudalanteriorcingulate_area,IDP (feature),-0.0700024231955251,0.06343773872892107,0.01875847112951967,sadRawScore,['age'],HCP_Aging,0.005731540870762553
3,lh_caudalanteriorcingulate_area,age,0.02418735689980251,0.9655068143001505,0.41624483671144397,sadRawScore,['age'],HCP_Aging,0.005731540870762553
4,lh_caudalanteriorcingulate_thickness,IDP (feature),0.01962881198742611,0.8240636637682869,0.5759584746767596,neo_n,['age'],HCP_Aging,0.0556073470264532
5,lh_caudalanteriorcingulate_thickness,age,-0.22413451076693242,3.2048739249300755e-10,2.4467317061294125e-10,neo_n,['age'],HCP_Aging,0.0556073470264532
6,lh_caudalanteriorcingulate_thickness,IDP (feature),0.06206852284397872,0.1724759319013882,0.08531067599423503,sadRawScore,['age'],HCP_Aging,0.0034726754282305983
7,lh_caudalanteriorcingulate_thickness,age,0.0644461795588697,0.9655068143001505,0.07401953496813474,sadRawScore,['age'],HCP_Aging,0.0034726754282305983
8,lh_caudalanteriorcingulate_volume,IDP (feature),-0.030512672139544894,0.635561988945264,0.3221010930551571,neo_n,['age'],HCP_Aging,0.0561653576342378
9,lh_caudalanteriorcingulate_volume,age,-0.24581272840069118,8.581879795544068e-15,3.552713678800501e-15,neo_n,['age'],HCP_Aging,0.0561653576342378
10,lh_caudalanteriorcingulate_volume,IDP (feature),-0.03249141616906627,0.4470703769197927,0.30525773047749283,sadRawScore,['age'],HCP_Aging,0.0017864421288391608
11,lh_caudalanteriorcingulate_volume,age,0.018035763409139424,0.9655068143001505,0.5692297976961722,sadRawScore,['age'],HCP_Aging,0.0017864421288391608
12,lh_caudalmiddlefrontal_area,IDP (feature),-0.01901380078395552,0.7989667910747522,0.5115317231504277,neo_n,['age'],HCP_Aging,0.05570610255268904
13,lh_caudalmiddlefrontal_area,age,-0.23634499082807217,2.8482963114521257e-15,8.881784197001252e-16,neo_n,['age'],HCP_Aging,0.05570610255268904
14,lh_caudalmiddlefrontal_area,IDP (feature),-0.0805853976328041,0.03298959192660813,0.006739809103285532,sadRawScore,['age'],HCP_Aging,0.007329833842539379
15,lh_caudalmiddlefrontal_area,age,0.024664210057327565,0.9655068143001505,0.4062674870804659,sadRawScore,['age'],HCP_Aging,0.007329833842539379
16,lh_caudalmiddlefrontal_thickness,IDP (feature),-0.009991684135137686,0.9122817364741623,0.8149277761522629,neo_n,['age'],HCP_Aging,0.055391584850956854
17,lh_caudalmiddlefrontal_thickness,age,-0.24260601740518684,1.9610202086656556e-08,1.6658128654256643e-08,neo_n,['age'],HCP_Aging,0.055391584850956854
18,lh_caudalmiddlefrontal_thickness,IDP (feature),0.038350763721040494,0.5345944308016992,0.3822637596592795,sadRawScore,['age'],HCP_Aging,0.0015321731554901463
19,lh_caudalmiddlefrontal_thickness,age,0.057484508941495684,0.9655068143001505,0.19040736011113824,sadRawScore,['age'],HCP_Aging,0.0015321731554901463
20,lh_caudalmiddlefrontal_volume,IDP (feature),-0.01947230897258565,0.8084395851134157,0.543306172791274,neo_n,['age'],HCP_Aging,0.05565469703120629
21,lh_caudalmiddlefrontal_volume,age,-0.24363748503892946,1.0944578576754794e-13,5.88418203051333e-14,neo_n,['age'],HCP_Aging,0.05565469703120629
22,lh_caudalmiddlefrontal_volume,IDP (feature),-0.0847407748576906,0.040011687104756916,0.010007181418791866,sadRawScore,['age'],HCP_Aging,0.006707921736124334
23,lh_caudalmiddlefrontal_volume,age,-0.007195329477352757,0.9694933097031166,0.8266411402973932,sadRawScore,['age'],HCP_Aging,0.006707921736124334
24,lh_cuneus_area,IDP (feature),-0.04997308084132033,0.4405781436005577,0.0900105884775333,neo_n,['age'],HCP_Aging,0.05774652173438499
25,lh_cuneus_area,age,-0.24508274379598224,1.7956650659154707e-15,2.220446049250313e-16,neo_n,['age'],HCP_Aging,0.05774652173438499
26,lh_cuneus_area,IDP (feature),-0.08413131897786844,0.030806892527241884,0.005465738996768721,sadRawScore,['age'],HCP_Aging,0.007661529590062499
27,lh_cuneus_area,age,0.012733944672392085,0.9655068143001505,0.6736026822728971,sadRawScore,['age'],HCP_Aging,0.007661529590062499
28,lh_cuneus_thickness,IDP (feature),0.022954972157407535,0.7983917382187798,0.5065065866119141,neo_n,['age'],HCP_Aging,0.055714751053776324
29,lh_cuneus_thickness,age,-0.2226893111386164,2.2656421582958585e-10,1.6931411828124965e-10,neo_n,['age'],HCP_Aging,0.055714751053776324
30,lh_cuneus_thickness,IDP (feature),0.01232049139997001,0.8491908562564174,0.7288497016119502,sadRawScore,['age'],HCP_Aging,0.0009633941225991594
31,lh_cuneus_thickness,age,0.03602151933197725,0.9655068143001505,0.31090837931569837,sadRawScore,['age'],HCP_Aging,0.0009633941225991594
32,lh_cuneus_volume,IDP (feature),-0.030163386058448163,0.635561988945264,0.3314489942348957,neo_n,['age'],HCP_Aging,0.05613429908020895
33,lh_cuneus_volume,age,-0.24627010450530765,1.1727244689744247e-14,5.10702591327572e-15,neo_n,['age'],HCP_Aging,0.05613429908020895
34,lh_cuneus_volume,IDP (feature),-0.08205021573973086,0.040011687104756916,0.01011048007485793,sadRawScore,['age'],HCP_Aging,0.006691836107284632
35,lh_cuneus_volume,age,-0.000682064705042569,0.9981795729350047,0.9829169863275546,sadRawScore,['age'],HCP_Aging,0.006691836107284632
36,lh_entorhinal_area,IDP (feature),-0.061435034761654024,0.29745177135539097,0.03502713505885913,neo_n,['age'],HCP_Aging,0.059055062924681545
37,lh_entorhinal_area,age,-0.24331674215182472,1.7956650659154707e-15,2.220446049250313e-16,neo_n,['age'],HCP_Aging,0.059055062924681545
38,lh_entorhinal_area,IDP (feature),-0.01932317290755225,0.6756966889021785,0.5194872393172663,sadRawScore,['age'],HCP_Aging,0.0012240566785324258
39,lh_entorhinal_area,age,0.026741147477532135,0.9655068143001505,0.37274757043479223,sadRawScore,['age'],HCP_Aging,0.0012240566785324258
40,lh_entorhinal_thickness,IDP (feature),0.0047841127054598235,0.9293593396977217,0.8856159605606011,neo_n,['age'],HCP_Aging,0.05536306921784073
41,lh_entorhinal_thickness,age,-0.2328944693438097,6.423707094704585e-12,4.247935336820774e-12,neo_n,['age'],HCP_Aging,0.05536306921784073
42,lh_entorhinal_thickness,IDP (feature),0.02610350392210198,0.5873966150961066,0.4452845307986615,sadRawScore,['age'],HCP_Aging,0.0013723504918965457
43,lh_entorhinal_thickness,age,0.042165804118878006,0.9655068143001505,0.21767781434260702,sadRawScore,['age'],HCP_Aging,0.0013723504918965457
44,lh_entorhinal_volume,IDP (feature),-0.05520523550419256,0.3993894963249168,0.06796553640454439,neo_n,['age'],HCP_Aging,0.05812793376657388
45,lh_entorhinal_volume,age,-0.25154932471452607,1.7956650659154707e-15,2.220446049250313e-16,neo_n,['age'],HCP_Aging,0.05812793376657388
46,lh_entorhinal_volume,IDP (feature),-0.006004534266002422,0.9118743646893576,0.8470401695970615,sadRawScore,['age'],HCP_Aging,0.0008900124787011299
47,lh_entorhinal_volume,age,0.027504145686321792,0.9655068143001505,0.37700488714744607,sadRawScore,['age'],HCP_Aging,0.0008900124787011299
48,lh_fusiform_area,IDP (feature),-0.031160457605220352,0.61519598245541,0.30098298066366835,neo_n,['age'],HCP_Aging,0.05624009096963356
49,lh_fusiform_area,age,-0.2440115270070204,3.64414381024022e-15,1.3322676295501878e-15,neo_n,['age'],HCP_Aging,0.05624009096963356
50,lh_fusiform_area,IDP (feature),-0.08780115437435163,0.028669187917665262,0.004536381465323425,sadRawScore,['age'],HCP_Aging,0.007957616701279813
51,lh_fusiform_area,age,0.00460795551114298,0.9981795729350047,0.8813795164176328,sadRawScore,['age'],HCP_Aging,0.007957616701279813
52,lh_fusiform_thickness,IDP (feature),0.00947654560779962,0.9121679527990015,0.8040314223706369,neo_n,['age'],HCP_Aging,0.05539725461523093
53,lh_fusiform_thickness,age,-0.22906709979227746,3.326761336207342e-09,2.6649862316929784e-09,neo_n,['age'],HCP_Aging,0.05539725461523093
54,lh_fusiform_thickness,IDP (feature),0.00519377401945268,0.9276395010480267,0.8948009035110858,sadRawScore,['age'],HCP_Aging,0.0008725655193592141
55,lh_fusiform_thickness,age,0.03266860791554146,0.9655068143001505,0.40563000236590363,sadRawScore,['age'],HCP_Aging,0.0008725655193592141
56,lh_fusiform_volume,IDP (feature),-0.02831882837051891,0.6789983972103024,0.38323121405370664,neo_n,['age'],HCP_Aging,0.0559814320670976
57,lh_fusiform_volume,age,-0.24815199570088864,8.510364130581201e-14,4.4853010194856324e-14,neo_n,['age'],HCP_Aging,0.0559814320670976
58,lh_fusiform_volume,IDP (feature),-0.09550589510639904,0.028669187917665262,0.004181958834273081,sadRawScore,['age'],HCP_Aging,0.008087151609238563
59,lh_fusiform_volume,age,-0.014213098334221429,0.9655068143001505,0.6693862666462804,sadRawScore,['age'],HCP_Aging,0.008087151609238563
60,lh_inferiorparietal_area,IDP (feature),-0.003913991446195927,0.9293593396977217,0.8943834505693129,neo_n,['age'],HCP_Aging,0.05536050270388537
