,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,lh_caudalanteriorcingulate_area,IDP (feature),0.013044297067780798,0.7098176661337299,0.6869203220648998,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.007462725365897649
1,lh_caudalanteriorcingulate_area,FS_IntraCranial_Vol,-0.09079145786926497,0.008550567389663886,0.005102757958347803,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.007462725365897649
2,lh_caudalanteriorcingulate_area,IDP (feature),-0.05349674847706941,0.23222986235560755,0.09863526411877954,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.006887426135598229
3,lh_caudalanteriorcingulate_area,FS_IntraCranial_Vol,-0.04551258427244258,0.22193761248367533,0.1599439802736451,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.006887426135598229
4,lh_caudalanteriorcingulate_thickness,IDP (feature),0.1342918049953178,9.088404432087686e-05,3.5669544276473175e-05,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.022225814790865828
5,lh_caudalanteriorcingulate_thickness,FS_IntraCranial_Vol,-0.02962431833590655,0.37208445878192126,0.36008173430508505,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.022225814790865828
6,lh_caudalanteriorcingulate_thickness,IDP (feature),-0.002838471187028615,0.961757339596363,0.9307329092868029,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.0044930585147345825
7,lh_caudalanteriorcingulate_thickness,FS_IntraCranial_Vol,-0.0681628115182252,0.09436945723260555,0.03703747515043121,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.0044930585147345825
8,lh_caudalanteriorcingulate_volume,IDP (feature),0.06241208036588851,0.05004186062281899,0.03578262076792971,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.011185971876968903
9,lh_caudalanteriorcingulate_volume,FS_IntraCranial_Vol,-0.09096690495672258,0.004363079002872569,0.0022389307757024746,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.011185971876968903
10,lh_caudalanteriorcingulate_volume,IDP (feature),-0.03317412104057345,0.3990708802845331,0.26548258948960113,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.005578652297471787
11,lh_caudalanteriorcingulate_volume,FS_IntraCranial_Vol,-0.0641049570950797,0.08756977795241437,0.03154395227318152,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.005578652297471787
12,lh_caudalmiddlefrontal_area,IDP (feature),0.047003301659162285,0.20771235004447253,0.16527649358377383,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.009010590146774855
13,lh_caudalmiddlefrontal_area,FS_IntraCranial_Vol,-0.10833167546974473,0.0030320484815396257,0.0014123615293859526,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.009010590146774855
14,lh_caudalmiddlefrontal_area,IDP (feature),-0.06474235494509704,0.17147252792484993,0.05623561399685939,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.007693891004228459
15,lh_caudalmiddlefrontal_area,FS_IntraCranial_Vol,-0.03561052695352279,0.34106280273393347,0.29338735719048037,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.007693891004228459
16,lh_caudalmiddlefrontal_thickness,IDP (feature),0.15704166276503953,1.2015975891543253e-06,2.196468711357369e-07,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.0306409738080774
17,lh_caudalmiddlefrontal_thickness,FS_IntraCranial_Vol,-0.04893604092767284,0.12718153696623574,0.10449639157199009,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.0306409738080774
18,lh_caudalmiddlefrontal_thickness,IDP (feature),-0.02067457123823757,0.6057006302594747,0.4982376152134389,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.0048905937839718305
19,lh_caudalmiddlefrontal_thickness,FS_IntraCranial_Vol,-0.07180172527958013,0.071061587159038,0.018799990843244352,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.0048905937839718305
20,lh_caudalmiddlefrontal_volume,IDP (feature),0.12191379616406832,0.0001846400044252202,8.239312025426493e-05,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.020851584998459294
21,lh_caudalmiddlefrontal_volume,FS_IntraCranial_Vol,-0.12204466827600817,0.00048454719996329776,8.096413127334223e-05,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.020851584998459294
22,lh_caudalmiddlefrontal_volume,IDP (feature),-0.06765770939576812,0.13063024154899924,0.029497151317515957,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.008653926140817392
23,lh_caudalmiddlefrontal_volume,FS_IntraCranial_Vol,-0.046731175087152424,0.2003625366361518,0.13249780648519716,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.008653926140817392
24,lh_cuneus_area,IDP (feature),0.03620629374898763,0.30677396490688735,0.2589436155396845,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.00843936541513346
25,lh_cuneus_area,FS_IntraCranial_Vol,-0.09939530809469788,0.003957543143815023,0.0019787715719075116,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.00843936541513346
26,lh_cuneus_area,IDP (feature),-0.07147598903968963,0.12668673214489776,0.02593243147216273,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.008848890846753998
27,lh_cuneus_area,FS_IntraCranial_Vol,-0.03966163162106161,0.26450755033191775,0.21615670779812635,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.008848890846753998
28,lh_cuneus_thickness,IDP (feature),0.13477616231667452,2.006855012484099e-05,6.4737258467229e-06,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.02503850536997254
29,lh_cuneus_thickness,FS_IntraCranial_Vol,-0.0644361995433877,0.04428370997083717,0.030474811162726656,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.02503850536997254
30,lh_cuneus_thickness,IDP (feature),-0.018347770439311854,0.6375487504160399,0.5415736697082489,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.004814772800424416
31,lh_cuneus_thickness,FS_IntraCranial_Vol,-0.0698558497533343,0.07109278405146548,0.02025762126197672,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.004814772800424416
