,IDP_name,regressor,coef_,data type,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,FS_L_Thalamus-Proper,IDP ({datatype}),0.15954627669419305,aseg,3.0549345808594808e-06,3.818668226074351e-07,neo_n,['sex'],HCP_Aging,0.027259038563398397
1,FS_L_Thalamus-Proper,sex,-0.12398889711864172,aseg,0.00034755350435311527,7.653040312849413e-05,neo_n,['sex'],HCP_Aging,0.027259038563398397
2,FS_L_Thalamus-Proper,IDP ({datatype}),-0.061999943036763844,aseg,0.36615507245450235,0.0499819682693885,sadRawScore,['sex'],HCP_Aging,0.004555177537731714
3,FS_L_Thalamus-Proper,sex,-0.012843770440042682,aseg,0.7319340477476942,0.6844601691736387,sadRawScore,['sex'],HCP_Aging,0.004555177537731714
4,FS_L_Caudate,IDP ({datatype}),-0.01267744195740547,aseg,0.677381014061841,0.677381014061841,neo_n,['sex'],HCP_Aging,0.004950745393746403
5,FS_L_Caudate,sex,-0.06640222202869214,aseg,0.03145064368662342,0.029484978456209454,neo_n,['sex'],HCP_Aging,0.004950745393746403
6,FS_L_Caudate,IDP ({datatype}),-0.03237081037848968,aseg,0.5135402013108145,0.28886636323733317,sadRawScore,['sex'],HCP_Aging,0.0021576172299135887
7,FS_L_Caudate,sex,-0.026786778647712884,aseg,0.6597118234143748,0.38009409625911394,sadRawScore,['sex'],HCP_Aging,0.0021576172299135887
8,FS_L_Putamen,IDP ({datatype}),0.12448433189162833,aseg,0.0001216009416163091,6.840052965917387e-05,neo_n,['sex'],HCP_Aging,0.018670120668227486
9,FS_L_Putamen,sex,-0.10957418881941482,aseg,0.0010726798297602258,0.0004521269359818447,neo_n,['sex'],HCP_Aging,0.018670120668227486
10,FS_L_Putamen,IDP ({datatype}),-0.009548141201147404,aseg,0.8384207946552211,0.7612862973991401,sadRawScore,['sex'],HCP_Aging,0.0012449560892908718
11,FS_L_Putamen,sex,-0.031016419225971238,aseg,0.6597118234143748,0.3238126301395772,sadRawScore,['sex'],HCP_Aging,0.0012449560892908718
12,FS_L_Pallidum,IDP ({datatype}),0.09827680814241682,aseg,0.0023880457402989047,0.0016526756113672825,neo_n,['sex'],HCP_Aging,0.013483121443348622
13,FS_L_Pallidum,sex,-0.10046968083847303,aseg,0.001888558516663414,0.001298383980206097,neo_n,['sex'],HCP_Aging,0.013483121443348622
14,FS_L_Pallidum,IDP ({datatype}),-0.04196830576728383,aseg,0.4816830866636247,0.18063115749885927,sadRawScore,['sex'],HCP_Aging,0.0027471603841048298
15,FS_L_Pallidum,sex,-0.020784031494824936,aseg,0.676251468639208,0.507188601479406,sadRawScore,['sex'],HCP_Aging,0.0027471603841048298
16,FS_L_Hippocampus,IDP ({datatype}),0.14246642840891227,aseg,1.0765243927579605e-05,3.3641387273686263e-06,neo_n,['sex'],HCP_Aging,0.023646385616217902
17,FS_L_Hippocampus,sex,-0.10732916131960417,aseg,0.0010726798297602258,0.00045100541726950105,neo_n,['sex'],HCP_Aging,0.023646385616217902
18,FS_L_Hippocampus,IDP ({datatype}),-0.023660896532646785,aseg,0.545447477027474,0.4431760750848226,sadRawScore,['sex'],HCP_Aging,0.0016832292546482552
19,FS_L_Hippocampus,sex,-0.027786873764162744,aseg,0.6597118234143748,0.36784467870196735,sadRawScore,['sex'],HCP_Aging,0.0016832292546482552
20,FS_L_Amygdala,IDP ({datatype}),0.12032491750699749,aseg,0.00019013782053605157,0.00011883613783503222,neo_n,['sex'],HCP_Aging,0.017763072690093806
21,FS_L_Amygdala,sex,-0.10817005413344115,aseg,0.0010726798297602258,0.0005363399148801129,neo_n,['sex'],HCP_Aging,0.017763072690093806
22,FS_L_Amygdala,IDP ({datatype}),-0.008531238243285619,aseg,0.8384207946552211,0.7860194949892698,sadRawScore,['sex'],HCP_Aging,0.0012285208809875714
23,FS_L_Amygdala,sex,-0.031349737499643086,aseg,0.6597118234143748,0.31856289025217377,sadRawScore,['sex'],HCP_Aging,0.0012285208809875714
24,FS_L_Accumbens-area,IDP ({datatype}),0.16512226433824229,aseg,6.259862708191122e-07,3.912414192619451e-08,neo_n,['sex'],HCP_Aging,0.03104831196982083
25,FS_L_Accumbens-area,sex,-0.10113314346161509,aseg,0.0012912020700860517,0.0007263011644234041,neo_n,['sex'],HCP_Aging,0.03104831196982083
26,FS_L_Accumbens-area,IDP ({datatype}),-0.02553588727123284,aseg,0.545447477027474,0.39939443450427947,sadRawScore,['sex'],HCP_Aging,0.0017911456306449747
27,FS_L_Accumbens-area,sex,-0.029180182641263392,aseg,0.6597118234143748,0.3355869561354301,sadRawScore,['sex'],HCP_Aging,0.0017911456306449747
28,FS_L_VentralDC,IDP ({datatype}),0.1446149472997699,aseg,1.980776544430185e-05,7.902008142712802e-06,neo_n,['sex'],HCP_Aging,0.02223173758583108
29,FS_L_VentralDC,sex,-0.1282608641310391,aseg,0.00034755350435311527,7.300001922838639e-05,neo_n,['sex'],HCP_Aging,0.02223173758583108
30,FS_L_VentralDC,IDP ({datatype}),-0.051388145346975736,aseg,0.36615507245450235,0.11442346014203197,sadRawScore,['sex'],HCP_Aging,0.003364669411784149
31,FS_L_VentralDC,sex,-0.013145556304599643,aseg,0.7319340477476942,0.6861881697634633,sadRawScore,['sex'],HCP_Aging,0.003364669411784149
32,FS_R_Thalamus-Proper,IDP ({datatype}),0.14892180088234358,aseg,1.0765243927579605e-05,2.889258370997183e-06,neo_n,['sex'],HCP_Aging,0.02389870630274682
33,FS_R_Thalamus-Proper,sex,-0.12474231215472865,aseg,0.00034755350435311527,8.688837608827882e-05,neo_n,['sex'],HCP_Aging,0.02389870630274682
34,FS_R_Thalamus-Proper,IDP ({datatype}),-0.05494610559032779,aseg,0.36615507245450235,0.08618944541220785,sadRawScore,['sex'],HCP_Aging,0.003763511943935871
35,FS_R_Thalamus-Proper,sex,-0.01364060124100801,aseg,0.7319340477476942,0.6699420021203184,sadRawScore,['sex'],HCP_Aging,0.003763511943935871
36,FS_R_Caudate,IDP ({datatype}),-0.020185780452019356,aseg,0.5447596414685834,0.5107121638767969,neo_n,['sex'],HCP_Aging,0.005179345850092831
37,FS_R_Caudate,sex,-0.06413437397355358,aseg,0.03680461723931239,0.03680461723931239,neo_n,['sex'],HCP_Aging,0.005179345850092831
38,FS_R_Caudate,IDP ({datatype}),-0.025007490189871757,aseg,0.545447477027474,0.41599106574923983,sadRawScore,['sex'],HCP_Aging,0.001748250688577313
39,FS_R_Caudate,sex,-0.027746258475451036,aseg,0.6597118234143748,0.36681952287008235,sadRawScore,['sex'],HCP_Aging,0.001748250688577313
40,FS_R_Putamen,IDP ({datatype}),0.09632763869098214,aseg,0.0023880457402989047,0.0019402871639928598,neo_n,['sex'],HCP_Aging,0.013225484625863038
41,FS_R_Putamen,sex,-0.0984546246119901,aseg,0.0020510866156809486,0.0015383149617607117,neo_n,['sex'],HCP_Aging,0.013225484625863038
42,FS_R_Putamen,IDP ({datatype}),-0.030697874043938055,aseg,0.520195795514848,0.32512237219678,sadRawScore,['sex'],HCP_Aging,0.0020192005816211944
43,FS_R_Putamen,sex,-0.024807054232846938,aseg,0.6597118234143748,0.42648465733779517,sadRawScore,['sex'],HCP_Aging,0.0020192005816211944
44,FS_R_Pallidum,IDP ({datatype}),0.07453488752940762,aseg,0.018931284264842013,0.016564873731736762,neo_n,['sex'],HCP_Aging,0.009844593116181022
45,FS_R_Pallidum,sex,-0.09183274303710089,aseg,0.00362702421023821,0.003173646183958434,neo_n,['sex'],HCP_Aging,0.009844593116181022
46,FS_R_Pallidum,IDP ({datatype}),-0.03545365855523109,aseg,0.5135402013108145,0.25570297874404035,sadRawScore,['sex'],HCP_Aging,0.002305119223729113
47,FS_R_Pallidum,sex,-0.023375256363745878,aseg,0.6597118234143748,0.45355187859738266,sadRawScore,['sex'],HCP_Aging,0.002305119223729113
48,FS_R_Hippocampus,IDP ({datatype}),0.1362611027203415,aseg,1.980776544430185e-05,9.335247910913225e-06,neo_n,['sex'],HCP_Aging,0.02195590514958279
49,FS_R_Hippocampus,sex,-0.10681178669452993,aseg,0.0010726798297602258,0.0005014753389633864,neo_n,['sex'],HCP_Aging,0.02195590514958279
50,FS_R_Hippocampus,IDP ({datatype}),-0.03411908186613391,aseg,0.5135402013108145,0.26992590932463023,sadRawScore,['sex'],HCP_Aging,0.0022390898780437762
51,FS_R_Hippocampus,sex,-0.0247074361730275,aseg,0.6597118234143748,0.42428345739136386,sadRawScore,['sex'],HCP_Aging,0.0022390898780437762
52,FS_R_Amygdala,IDP ({datatype}),0.09868466156844204,aseg,0.0023880457402989047,0.0019114733039293785,neo_n,['sex'],HCP_Aging,0.013249489488350363
53,FS_R_Amygdala,sex,-0.10515004665653226,aseg,0.0015139932044750282,0.0009462457527968926,neo_n,['sex'],HCP_Aging,0.013249489488350363
54,FS_R_Amygdala,IDP ({datatype}),0.002549583510870646,aseg,0.9363417236788347,0.9363417236788347,sadRawScore,['sex'],HCP_Aging,0.0011689871392728257
55,FS_R_Amygdala,sex,-0.035034860172631806,aseg,0.6597118234143748,0.2725467076685393,sadRawScore,['sex'],HCP_Aging,0.0011689871392728257
56,FS_R_Accumbens-area,IDP ({datatype}),0.13282900314081741,aseg,1.980776544430185e-05,9.903882722150925e-06,neo_n,['sex'],HCP_Aging,0.021858079570201472
57,FS_R_Accumbens-area,sex,-0.09342954450100992,aseg,0.002262320334827505,0.0018381352720473476,neo_n,['sex'],HCP_Aging,0.021858079570201472
58,FS_R_Accumbens-area,IDP ({datatype}),-0.05291846448627275,aseg,0.36615507245450235,0.07994165651301488,sadRawScore,['sex'],HCP_Aging,0.003871063688738241
59,FS_R_Accumbens-area,sex,-0.02448256552316704,aseg,0.6597118234143748,0.41763081390432966,sadRawScore,['sex'],HCP_Aging,0.003871063688738241
60,FS_R_VentralDC,IDP ({datatype}),0.15333866480832375,aseg,1.0765243927579605e-05,2.5322841619157543e-06,neo_n,['sex'],HCP_Aging,0.02411742709729303
61,FS_R_VentralDC,sex,-0.13402715140222898,aseg,0.00034755350435311527,3.827766520103637e-05,neo_n,['sex'],HCP_Aging,0.02411742709729303
