,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,lh_caudalanteriorcingulate_area,IDP (feature),-0.006525577192901096,0.8836647176758973,0.8314049763079678,neo_n,['sex'],HCP_Aging,0.004838184776366994
1,lh_caudalanteriorcingulate_area,sex,-0.06764246193755723,0.04823385035843602,0.027488108268786116,neo_n,['sex'],HCP_Aging,0.004838184776366994
2,lh_caudalanteriorcingulate_area,IDP (feature),-0.06744967721872064,0.09099360550880231,0.02788513717205232,sadRawScore,['sex'],HCP_Aging,0.00543001828943146
3,lh_caudalanteriorcingulate_area,sex,-0.017291594934237854,0.9350466839304274,0.5725635742115909,sadRawScore,['sex'],HCP_Aging,0.00543001828943146
4,lh_caudalanteriorcingulate_thickness,IDP (feature),0.13793676712432887,1.763849841926457e-05,6.0691607464136155e-06,neo_n,['sex'],HCP_Aging,0.02266865499241877
5,lh_caudalanteriorcingulate_thickness,sex,-0.035267254961249384,0.2467301971361286,0.24540369069991286,neo_n,['sex'],HCP_Aging,0.02266865499241877
6,lh_caudalanteriorcingulate_thickness,IDP (feature),0.018252687599643935,0.6622924372256432,0.5519103643547028,sadRawScore,['sex'],HCP_Aging,0.0014762622489979949
7,lh_caudalanteriorcingulate_thickness,sex,-0.02960847655113666,0.8525425848633655,0.3346000467474499,sadRawScore,['sex'],HCP_Aging,0.0014762622489979949
8,lh_caudalanteriorcingulate_volume,IDP (feature),0.05931267711785666,0.0689565646148661,0.0459710430765774,neo_n,['sex'],HCP_Aging,0.008301183386924205
9,lh_caudalanteriorcingulate_volume,sex,-0.07314995742413588,0.029357549375747066,0.013889593253041621,neo_n,['sex'],HCP_Aging,0.008301183386924205
10,lh_caudalanteriorcingulate_volume,IDP (feature),-0.03665631036953016,0.3565558766643165,0.21853424698780688,sadRawScore,['sex'],HCP_Aging,0.0025012795295576984
11,lh_caudalanteriorcingulate_volume,sex,-0.03170959919642919,0.7970559123967144,0.28711153833645087,sadRawScore,['sex'],HCP_Aging,0.0025012795295576984
12,lh_caudalmiddlefrontal_area,IDP (feature),0.017029486179092335,0.66695242360586,0.5844798120847052,neo_n,['sex'],HCP_Aging,0.005061704679025225
13,lh_caudalmiddlefrontal_area,sex,-0.07442179200045766,0.03291254604997705,0.01698712054192364,neo_n,['sex'],HCP_Aging,0.005061704679025225
14,lh_caudalmiddlefrontal_area,IDP (feature),-0.0788999685447931,0.04482487327943099,0.011326715291039013,sadRawScore,['sex'],HCP_Aging,0.0068186888658970934
15,lh_caudalmiddlefrontal_area,sex,-0.010236071670702134,0.9462544100670104,0.7421508085942758,sadRawScore,['sex'],HCP_Aging,0.0068186888658970934
16,lh_caudalmiddlefrontal_thickness,IDP (feature),0.16287417765856865,2.3169852761406595e-07,3.9862112277688766e-08,neo_n,['sex'],HCP_Aging,0.031017221851540766
17,lh_caudalmiddlefrontal_thickness,sex,-0.051690300686702856,0.09734641486017213,0.07955190891799013,neo_n,['sex'],HCP_Aging,0.031017221851540766
18,lh_caudalmiddlefrontal_thickness,IDP (feature),-0.00770200956525404,0.8769512770235021,0.7967998162202787,sadRawScore,['sex'],HCP_Aging,0.001221976015178372
19,lh_caudalmiddlefrontal_thickness,sex,-0.03493914138257264,0.7956778752364715,0.24291247602987487,sadRawScore,['sex'],HCP_Aging,0.001221976015178372
20,lh_caudalmiddlefrontal_volume,IDP (feature),0.10324943654785623,0.0012908930506277375,0.0006315659548770114,neo_n,['sex'],HCP_Aging,0.015036943640186706
21,lh_caudalmiddlefrontal_volume,sex,-0.08980596861050731,0.010848903087718157,0.002934140208662228,neo_n,['sex'],HCP_Aging,0.015036943640186706
22,lh_caudalmiddlefrontal_volume,IDP (feature),-0.07794345396666588,0.0447235091781422,0.010098315398428204,sadRawScore,['sex'],HCP_Aging,0.0069981803603073045
