,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,FS_L_Thalamus-Proper,IDP (feature),0.004419295103065476,0.8986697713068119,0.8986697713068119,cbcl_anx_dep,['age'],HCP_Development,0.005388591684851618
1,FS_L_Thalamus-Proper,age,-0.0737745269868853,0.05899900500842688,0.03375721109754504,cbcl_anx_dep,['age'],HCP_Development,0.005388591684851618
2,FS_L_Thalamus-Proper,IDP (feature),-0.039692117822321224,0.40266530465150585,0.25166581540719113,dsm5_scale1,['age'],HCP_Development,0.010636716272143465
3,FS_L_Thalamus-Proper,age,0.0997773621545907,0.006592171655711591,0.004032700628714858,dsm5_scale1,['age'],HCP_Development,0.010636716272143465
4,FS_L_Thalamus-Proper,IDP (feature),-0.02908935412649498,0.6439357516626502,0.4024598447891563,upps_neg,['age'],HCP_Development,0.0034828223537871628
5,FS_L_Thalamus-Proper,age,-0.0481688156906831,0.2334964391091372,0.16578754510845384,upps_neg,['age'],HCP_Development,0.0034828223537871628
6,FS_L_Caudate,IDP (feature),0.02449709422723749,0.6943828608074156,0.47738821680509824,cbcl_anx_dep,['age'],HCP_Development,0.005969384183450499
7,FS_L_Caudate,age,-0.0730914405047747,0.05899900500842688,0.03422494479066507,cbcl_anx_dep,['age'],HCP_Development,0.005969384183450499
8,FS_L_Caudate,IDP (feature),-0.02492032981275038,0.6764161050442331,0.4689787140866639,dsm5_scale1,['age'],HCP_Development,0.009702322094520599
9,FS_L_Caudate,age,0.0951087155463216,0.006592171655711591,0.005818322664392861,dsm5_scale1,['age'],HCP_Development,0.009702322094520599
10,FS_L_Caudate,IDP (feature),-0.049508694256388826,0.4037007740850023,0.15138779028187588,upps_neg,['age'],HCP_Development,0.005098390454870483
11,FS_L_Caudate,age,-0.05182521156752859,0.2334964391091372,0.13317831523111812,upps_neg,['age'],HCP_Development,0.005098390454870483
12,FS_L_Putamen,IDP (feature),-0.05232197759195063,0.4857490506413538,0.12926494302536895,cbcl_anx_dep,['age'],HCP_Development,0.008101895101940704
13,FS_L_Putamen,age,-0.07551269804502109,0.05899900500842688,0.02868673007404987,cbcl_anx_dep,['age'],HCP_Development,0.008101895101940704
14,FS_L_Putamen,IDP (feature),-0.054788840804884456,0.2972577169541933,0.11147164385782249,dsm5_scale1,['age'],HCP_Development,0.012077663674141204
15,FS_L_Putamen,age,0.09295344105303165,0.007007893652333674,0.007007893652333674,dsm5_scale1,['age'],HCP_Development,0.012077663674141204
16,FS_L_Putamen,IDP (feature),-0.055824177910702134,0.4037007740850023,0.10598862867451375,upps_neg,['age'],HCP_Development,0.005758059868744225
17,FS_L_Putamen,age,-0.05383992927695513,0.2334964391091372,0.11896881830549266,upps_neg,['age'],HCP_Development,0.005758059868744225
18,FS_L_Pallidum,IDP (feature),-0.04758631617486886,0.4857490506413538,0.1771942708410117,cbcl_anx_dep,['age'],HCP_Development,0.00753219403597416
19,FS_L_Pallidum,age,-0.06319719035259214,0.08369204428379108,0.0732305387483172,cbcl_anx_dep,['age'],HCP_Development,0.00753219403597416
20,FS_L_Pallidum,IDP (feature),-0.08169424827218925,0.1612237436950572,0.02015296796188215,dsm5_scale1,['age'],HCP_Development,0.015455919572008647
21,FS_L_Pallidum,age,0.11259820204955719,0.006592171655711591,0.0013847474322266073,dsm5_scale1,['age'],HCP_Development,0.015455919572008647
22,FS_L_Pallidum,IDP (feature),-0.043854765442222145,0.4286029445395716,0.2143014722697858,upps_neg,['age'],HCP_Development,0.004484390217826095
23,FS_L_Pallidum,age,-0.04216499039741184,0.28611867595076035,0.23247142420999278,upps_neg,['age'],HCP_Development,0.004484390217826095
24,FS_L_Hippocampus,IDP (feature),0.010670956279778916,0.8986697713068119,0.7600541660605931,cbcl_anx_dep,['age'],HCP_Development,0.00548021189674508
25,FS_L_Hippocampus,age,-0.07499833136192259,0.05899900500842688,0.03206386084616497,cbcl_anx_dep,['age'],HCP_Development,0.00548021189674508
26,FS_L_Hippocampus,IDP (feature),-0.0196287021189341,0.705870782828033,0.5735200110477767,dsm5_scale1,['age'],HCP_Development,0.009456578245332081
27,FS_L_Hippocampus,age,0.09846495417296665,0.006592171655711591,0.004844956206458972,dsm5_scale1,['age'],HCP_Development,0.009456578245332081
28,FS_L_Hippocampus,IDP (feature),-0.02477200349551156,0.6965492048316394,0.47887757832175204,upps_neg,['age'],HCP_Development,0.003245076140065639
29,FS_L_Hippocampus,age,-0.047453797869797185,0.2334964391091372,0.1751223293318529,upps_neg,['age'],HCP_Development,0.003245076140065639
30,FS_L_Amygdala,IDP (feature),-0.0283083414901576,0.6943828608074156,0.41952534215909276,cbcl_anx_dep,['age'],HCP_Development,0.0061438389554654416
31,FS_L_Amygdala,age,-0.06809545272745975,0.06446513226399676,0.052377919964497366,cbcl_anx_dep,['age'],HCP_Development,0.0061438389554654416
32,FS_L_Amygdala,IDP (feature),-0.07013420288612926,0.23939312370705795,0.04488621069507337,dsm5_scale1,['age'],HCP_Development,0.013835433949417109
33,FS_L_Amygdala,age,0.10812985041760807,0.006592171655711591,0.0020202603563141963,dsm5_scale1,['age'],HCP_Development,0.013835433949417109
34,FS_L_Amygdala,IDP (feature),0.0042351351312900605,0.9279997923102405,0.9040222140932339,upps_neg,['age'],HCP_Development,0.0026647539073590965
35,FS_L_Amygdala,age,-0.052228052145768276,0.2334964391091372,0.13726549770983065,upps_neg,['age'],HCP_Development,0.0026647539073590965
36,FS_L_Accumbens-area,IDP (feature),0.06570948389311257,0.4548900262353843,0.05686125327942304,cbcl_anx_dep,['age'],HCP_Development,0.00967219768888461
37,FS_L_Accumbens-area,age,-0.069422132474936,0.05899900500842688,0.04424925375632016,cbcl_anx_dep,['age'],HCP_Development,0.00967219768888461
38,FS_L_Accumbens-area,IDP (feature),0.007235717574842669,0.8893525818789935,0.8337680455115564,dsm5_scale1,['age'],HCP_Development,0.00913350989882411
39,FS_L_Accumbens-area,age,0.09572036446703475,0.006592171655711591,0.0056050420133262335,dsm5_scale1,['age'],HCP_Development,0.00913350989882411
