,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,lh_caudalanteriorcingulate_area,IDP (feature),-0.09217444521492453,0.28430774382405055,0.007642681285592756,cbcl_anx_dep,['age'],HCP_Development,0.01379384594526123
1,lh_caudalanteriorcingulate_area,age,-0.06481432189838092,0.06729749441737586,0.060423019181192306,cbcl_anx_dep,['age'],HCP_Development,0.01379384594526123
2,lh_caudalanteriorcingulate_area,IDP (feature),-0.06460189793847584,0.671172960406229,0.061343765198418776,dsm5_scale1,['age'],HCP_Development,0.013219572243229227
3,lh_caudalanteriorcingulate_area,age,0.10122623928842461,0.012012260082287491,0.0034193361047860638,dsm5_scale1,['age'],HCP_Development,0.013219572243229227
4,lh_caudalanteriorcingulate_area,IDP (feature),-0.09698622396136584,0.3851510399920554,0.005055119680930753,upps_neg,['age'],HCP_Development,0.011974483086749421
5,lh_caudalanteriorcingulate_area,age,-0.04255010768245513,0.2719328056593716,0.21783864539379771,upps_neg,['age'],HCP_Development,0.011974483086749421
6,lh_caudalanteriorcingulate_thickness,IDP (feature),-0.00828595460191322,0.9922104509456208,0.810788524850867,cbcl_anx_dep,['age'],HCP_Development,0.0054374597894413235
7,lh_caudalanteriorcingulate_thickness,age,-0.07398812297973142,0.056462920233078646,0.0327700307363159,cbcl_anx_dep,['age'],HCP_Development,0.0054374597894413235
8,lh_caudalanteriorcingulate_thickness,IDP (feature),0.028252942635931182,0.8742855807619927,0.41335775607653935,dsm5_scale1,['age'],HCP_Development,0.009873660208635004
9,lh_caudalanteriorcingulate_thickness,age,0.0977256246121253,0.012012260082287491,0.004753970624827408,dsm5_scale1,['age'],HCP_Development,0.009873660208635004
10,lh_caudalanteriorcingulate_thickness,IDP (feature),0.009310489159099126,0.8718305133929009,0.7882028860347234,upps_neg,['age'],HCP_Development,0.0027334623102190925
11,lh_caudalanteriorcingulate_thickness,age,-0.050652419243500224,0.23970087776194543,0.14411825227656538,upps_neg,['age'],HCP_Development,0.0027334623102190925
12,lh_caudalanteriorcingulate_volume,IDP (feature),-0.08260421190882196,0.382846751783319,0.016466526958422323,cbcl_anx_dep,['age'],HCP_Development,0.012185619855936802
13,lh_caudalanteriorcingulate_volume,age,-0.07060229741384408,0.056462920233078646,0.04027850971332381,cbcl_anx_dep,['age'],HCP_Development,0.012185619855936802
14,lh_caudalanteriorcingulate_volume,IDP (feature),-0.04149334298073198,0.7960022035806437,0.22802503654768325,dsm5_scale1,['age'],HCP_Development,0.01080122866544908
15,lh_caudalanteriorcingulate_volume,age,0.09663886497037534,0.012012260082287491,0.005075894853081131,dsm5_scale1,['age'],HCP_Development,0.01080122866544908
16,lh_caudalanteriorcingulate_volume,IDP (feature),-0.09533045414134916,0.3851510399920554,0.0056800920782573705,upps_neg,['age'],HCP_Development,0.011725795568502062
17,lh_caudalanteriorcingulate_volume,age,-0.048367932418729144,0.23970087776194543,0.15983712638788616,upps_neg,['age'],HCP_Development,0.011725795568502062
18,lh_caudalmiddlefrontal_area,IDP (feature),0.0153305098011236,0.9922104509456208,0.6566926389516552,cbcl_anx_dep,['age'],HCP_Development,0.005604196369672021
