,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,FS_L_Thalamus-Proper,IDP (feature),-0.0020884731941247184,0.9515306606151217,0.9515306606151217,cbcl_anx_dep,,HCP_Development,4.32896705548913e-06
1,FS_L_Thalamus-Proper,IDP (feature),-0.02435582916545348,0.873121315188756,0.47833900049291334,dsm5_scale1,,HCP_Development,0.000588751881920424
2,FS_L_Thalamus-Proper,IDP (feature),-0.027811326643395477,0.6197813486301975,0.41817051112256265,upps_neg,,HCP_Development,0.000767661714613177
3,FS_L_Caudate,IDP (feature),0.02997962905260564,0.6195661896763774,0.38722886854773586,cbcl_anx_dep,,HCP_Development,0.0008755695114947004
4,FS_L_Caudate,IDP (feature),-0.01631468041128966,0.8960586807435447,0.638022625608714,dsm5_scale1,,HCP_Development,0.0002592956686676695
5,FS_L_Caudate,IDP (feature),-0.04319431786052442,0.42547202511992,0.21273601255996,upps_neg,,HCP_Development,0.0018175708980935346
6,FS_L_Putamen,IDP (feature),-0.04163067782331204,0.4969703846910911,0.23936358115842205,cbcl_anx_dep,,HCP_Development,0.0016206394275977143
7,FS_L_Putamen,IDP (feature),-0.050444911893305834,0.5518636186401734,0.15387971739498085,dsm5_scale1,,HCP_Development,0.002379546368333596
8,FS_L_Putamen,IDP (feature),-0.056605128432770366,0.4087615310699186,0.10952253645492682,upps_neg,,HCP_Development,0.002996201358029138
9,FS_L_Pallidum,IDP (feature),-0.06324766986720179,0.4151268515470564,0.07783628466507309,cbcl_anx_dep,,HCP_Development,0.0036366178083782064
10,FS_L_Pallidum,IDP (feature),-0.06200990826343224,0.5518636186401734,0.08384306858862711,dsm5_scale1,,HCP_Development,0.0034956728266578585
11,FS_L_Pallidum,IDP (feature),-0.05106202531480902,0.4087615310699186,0.15468214167287053,upps_neg,,HCP_Development,0.002370307409156669
12,FS_L_Hippocampus,IDP (feature),0.0037751301770969042,0.9515306606151217,0.9125569179089563,cbcl_anx_dep,,HCP_Development,1.4128903327637055e-05
13,FS_L_Hippocampus,IDP (feature),0.004491132446919429,0.8960586807435447,0.8960586807435447,dsm5_scale1,,HCP_Development,1.999660719720353e-05
14,FS_L_Hippocampus,IDP (feature),-0.027355515008457804,0.6197813486301975,0.4260996771832608,upps_neg,,HCP_Development,0.0007418812254190721
15,FS_L_Amygdala,IDP (feature),-0.04083877018261586,0.4969703846910911,0.24848519234554556,cbcl_anx_dep,,HCP_Development,0.0015591815531839082
16,FS_L_Amygdala,IDP (feature),-0.04715769766163729,0.5518636186401734,0.18260646998515417,dsm5_scale1,,HCP_Development,0.0020790099360845637
17,FS_L_Amygdala,IDP (feature),-0.0028695101743043717,0.9353972800567634,0.9353972800567634,upps_neg,,HCP_Development,7.697805175510553e-06
18,FS_L_Accumbens-area,IDP (feature),0.07484525709226077,0.2564647341488797,0.032058091768609964,cbcl_anx_dep,,HCP_Development,0.00536969736569759
19,FS_L_Accumbens-area,IDP (feature),0.013609202112353282,0.8960586807435447,0.6970675233905959,dsm5_scale1,,HCP_Development,0.00017753605630599356
20,FS_L_Accumbens-area,IDP (feature),0.010066563249450064,0.8838760612173344,0.7733915535651676,upps_neg,,HCP_Development,9.713677798328657e-05
21,FS_L_VentralDC,IDP (feature),-0.04466331505555529,0.4969703846910911,0.20780979473554417,cbcl_anx_dep,,HCP_Development,0.001857229240840308
22,FS_L_VentralDC,IDP (feature),-0.012764852430414211,0.8960586807435447,0.7189628004976445,dsm5_scale1,,HCP_Development,0.00015170336015291053
23,FS_L_VentralDC,IDP (feature),-0.06074776130108386,0.4087615310699186,0.08654563866199116,upps_neg,,HCP_Development,0.003435770598881338
24,FS_R_Thalamus-Proper,IDP (feature),-0.024755819867372797,0.6330125467357555,0.47475941005181665,cbcl_anx_dep,,HCP_Development,0.0005983879748855392
25,FS_R_Thalamus-Proper,IDP (feature),-0.03501400939545293,0.7130870779342335,0.3119755965962272,dsm5_scale1,,HCP_Development,0.0011970489703765352
26,FS_R_Thalamus-Proper,IDP (feature),-0.046544526072011726,0.4087615310699186,0.1788331698430894,upps_neg,,HCP_Development,0.0021152682692652247
27,FS_R_Caudate,IDP (feature),0.03395956769496073,0.5687937410046054,0.31994647931509057,cbcl_anx_dep,,HCP_Development,0.0011582800850177266
28,FS_R_Caudate,IDP (feature),-0.008134564406665025,0.8960586807435447,0.811748859835784,dsm5_scale1,,HCP_Development,6.645962515472448e-05
29,FS_R_Caudate,IDP (feature),-0.031165416157610683,0.6197813486301975,0.36140333956803805,upps_neg,,HCP_Development,0.0009755176786115927
30,FS_R_Putamen,IDP (feature),-0.04201431467750277,0.4969703846910911,0.23316871595332134,cbcl_anx_dep,,HCP_Development,0.0016640227083657422
31,FS_R_Putamen,IDP (feature),-0.04447055594161879,0.5518636186401734,0.20694885699006504,dsm5_scale1,,HCP_Development,0.001864274238880581
32,FS_R_Putamen,IDP (feature),-0.05227560429636841,0.4087615310699186,0.13787299405184372,upps_neg,,HCP_Development,0.002576100516379909
33,FS_R_Pallidum,IDP (feature),-0.0939494461956382,0.12560358977874841,0.007850224361171776,cbcl_anx_dep,,HCP_Development,0.008246214823664832
34,FS_R_Pallidum,IDP (feature),-0.06311978723602973,0.5518636186401734,0.0744167419703885,dsm5_scale1,,HCP_Development,0.0037221789459281895
35,FS_R_Pallidum,IDP (feature),-0.05717832079845777,0.4087615310699186,0.10612889083097832,upps_neg,,HCP_Development,0.003054421651272232
36,FS_R_Hippocampus,IDP (feature),-0.024979254880596,0.6330125467357555,0.4721332643745786,cbcl_anx_dep,,HCP_Development,0.0006055327745617678
37,FS_R_Hippocampus,IDP (feature),-0.023919920682861303,0.873121315188756,0.4911307397936753,dsm5_scale1,,HCP_Development,0.0005552622722202472
