,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,FS_L_Thalamus-Proper,IDP (feature),0.03978012450408123,0.7186918512221512,0.29409412417319025,cbcl_anx_dep,['sex'],HCP_Development,0.008991931476390769
1,FS_L_Thalamus-Proper,sex,-0.10433346140650802,0.018455121803288677,0.0060244041805324056,cbcl_anx_dep,['sex'],HCP_Development,0.008991931476390769
2,FS_L_Thalamus-Proper,IDP (feature),-0.023341496259781748,0.8894982172005671,0.5397010756467644,dsm5_scale1,['sex'],HCP_Development,0.0009297208977214755
3,FS_L_Thalamus-Proper,sex,-0.012144433137182482,0.9969859198976909,0.7496475701871947,dsm5_scale1,['sex'],HCP_Development,0.0009297208977214755
4,FS_L_Thalamus-Proper,IDP (feature),-0.04066857412670039,0.4564716968066499,0.28529481050415617,upps_neg,['sex'],HCP_Development,0.0013695026406044253
5,FS_L_Thalamus-Proper,sex,0.014664562327442452,0.9972882882584821,0.6999397119152855,upps_neg,['sex'],HCP_Development,0.0013695026406044253
6,FS_L_Caudate,IDP (feature),0.05489895789002845,0.405414281321788,0.12669196291305873,cbcl_anx_dep,['sex'],HCP_Development,0.0104501721480168
7,FS_L_Caudate,sex,-0.1035085204013598,0.01618763394293765,0.004046908485734413,cbcl_anx_dep,['sex'],HCP_Development,0.0104501721480168
8,FS_L_Caudate,IDP (feature),-0.02106595195637403,0.8894982172005671,0.5594985796288094,dsm5_scale1,['sex'],HCP_Development,0.0008872957420473782
9,FS_L_Caudate,sex,-0.015843254078041207,0.9969859198976909,0.6607178023167399,dsm5_scale1,['sex'],HCP_Development,0.0008872957420473782
10,FS_L_Caudate,IDP (feature),-0.052831279619423174,0.2863787157752924,0.1431893578876462,upps_neg,['sex'],HCP_Development,0.0025645786925254654
11,FS_L_Caudate,sex,0.012871248471832212,0.9972882882584821,0.7211723583408265,upps_neg,['sex'],HCP_Development,0.0025645786925254654
12,FS_L_Putamen,IDP (feature),-0.016946673615395712,0.8687492158927679,0.6515619119195759,cbcl_anx_dep,['sex'],HCP_Development,0.007928859941851218
13,FS_L_Putamen,sex,-0.08094512643073946,0.03843408054309149,0.031227690441261835,cbcl_anx_dep,['sex'],HCP_Development,0.007928859941851218
14,FS_L_Putamen,IDP (feature),-0.05943205868144704,0.5295223775016489,0.11431303094215473,dsm5_scale1,['sex'],HCP_Development,0.003455506131916475
15,FS_L_Putamen,sex,0.0016841081666392607,0.9969859198976909,0.9642828064781175,dsm5_scale1,['sex'],HCP_Development,0.003455506131916475
16,FS_L_Putamen,IDP (feature),-0.06242904838232446,0.27650338394351287,0.09722397475564848,upps_neg,['sex'],HCP_Development,0.0032882827591536046
17,FS_L_Putamen,sex,0.022427534444474175,0.9972882882584821,0.5510236009514111,upps_neg,['sex'],HCP_Development,0.0032882827591536046
18,FS_L_Pallidum,IDP (feature),-0.03404603378042761,0.7186918512221512,0.35558564762083544,cbcl_anx_dep,['sex'],HCP_Development,0.008698838372789619
19,FS_L_Pallidum,sex,-0.07554026831343999,0.0432981579248846,0.04059202305457932,cbcl_anx_dep,['sex'],HCP_Development,0.008698838372789619
20,FS_L_Pallidum,IDP (feature),-0.057315941507090205,0.5295223775016489,0.12106498888826533,dsm5_scale1,['sex'],HCP_Development,0.0033481984595894465
21,FS_L_Pallidum,sex,-0.001489593629096583,0.9969859198976909,0.9678376617523614,dsm5_scale1,['sex'],HCP_Development,0.0033481984595894465
22,FS_L_Pallidum,IDP (feature),-0.059500995027225195,0.27650338394351287,0.1075881738151856,upps_neg,['sex'],HCP_Development,0.003096184170328531
23,FS_L_Pallidum,sex,0.018842427042150077,0.9972882882584821,0.6101044097540478,upps_neg,['sex'],HCP_Development,0.003096184170328531
24,FS_L_Hippocampus,IDP (feature),0.03373638012458171,0.7186918512221512,0.3593459256110756,cbcl_anx_dep,['sex'],HCP_Development,0.008683141327923583
