,IDP_name,regressor,coef_,p_fdr,p_raw,score (R2),phenotype,confounds,Dataset,data type
0,lh_caudalanteriorcingulate_area,IDP (dkt),-0.09812414889297688,0.20551362935266382,0.004419647943068039,0.009628348595970948,cbcl_anx_dep,,HCP_Development,dkt
1,lh_caudalanteriorcingulate_area,IDP (dkt),-0.05530972129341266,0.4118136431029567,0.10918497110165193,0.0030591652695550753,dsm5_scale1,,HCP_Development,dkt
2,lh_caudalanteriorcingulate_area,IDP (dkt),-0.10089215901961954,0.28492706924880856,0.0034197335066403767,0.010179227751640152,upps_neg,,HCP_Development,dkt
3,lh_caudalanteriorcingulate_thickness,IDP (dkt),-0.0019234048805388722,0.9845302453136456,0.9556105866477913,3.6994863342743045e-06,cbcl_anx_dep,,HCP_Development,dkt
4,lh_caudalanteriorcingulate_thickness,IDP (dkt),0.019849105363057708,0.7851447340261456,0.565641905158621,0.00039398698371384544,dsm5_scale1,,HCP_Development,dkt
5,lh_caudalanteriorcingulate_thickness,IDP (dkt),0.013666303619116667,0.8187652751152644,0.6924622930669337,0.00018676785460980394,upps_neg,,HCP_Development,dkt
6,lh_caudalanteriorcingulate_volume,IDP (dkt),-0.08488908105788656,0.32204056725326247,0.013851207193688708,0.007206156082852355,cbcl_anx_dep,,HCP_Development,dkt
7,lh_caudalanteriorcingulate_volume,IDP (dkt),-0.03836586456629539,0.5511734909385071,0.2666968504541163,0.0014719395639193333,dsm5_scale1,,HCP_Development,dkt
8,lh_caudalanteriorcingulate_volume,IDP (dkt),-0.096895762929246,0.28492706924880856,0.004942766425231504,0.009388788873640586,upps_neg,,HCP_Development,dkt
9,lh_caudalmiddlefrontal_area,IDP (dkt),0.017101077469756656,0.9657573412375128,0.6206463952115688,0.0002924468506264599,cbcl_anx_dep,,HCP_Development,dkt
10,lh_caudalmiddlefrontal_area,IDP (dkt),0.013368769401909479,0.8608070582757987,0.6988272354819656,0.0001787239953217057,dsm5_scale1,,HCP_Development,dkt
11,lh_caudalmiddlefrontal_area,IDP (dkt),-0.07182317703667539,0.33819851529330264,0.03741359149382273,0.005158568759641713,upps_neg,,HCP_Development,dkt
12,lh_caudalmiddlefrontal_thickness,IDP (dkt),-0.014211016472219614,0.980034671850598,0.6808658934985599,0.00020195298917358162,cbcl_anx_dep,,HCP_Development,dkt
13,lh_caudalmiddlefrontal_thickness,IDP (dkt),-0.038823862591726654,0.5511734909385071,0.26102549005748643,0.0015072923065414523,dsm5_scale1,,HCP_Development,dkt
14,lh_caudalmiddlefrontal_thickness,IDP (dkt),0.020794677284347404,0.7447886434533327,0.5472709180772424,0.0004324186033601851,upps_neg,,HCP_Development,dkt
15,lh_caudalmiddlefrontal_volume,IDP (dkt),0.011624643687864795,0.981145814995647,0.7365512702812747,0.0001351323408697036,cbcl_anx_dep,,HCP_Development,dkt
16,lh_caudalmiddlefrontal_volume,IDP (dkt),-0.0005702224846584816,0.9921681366394616,0.9868338993457011,3.251536820902956e-07,dsm5_scale1,,HCP_Development,dkt
17,lh_caudalmiddlefrontal_volume,IDP (dkt),-0.05275479452359986,0.4066720048483695,0.12657056758014829,0.0027830683452272353,upps_neg,,HCP_Development,dkt
18,lh_cuneus_area,IDP (dkt),-0.029731002636505473,0.9209715776711261,0.3894620139918783,0.0008839325177719681,cbcl_anx_dep,,HCP_Development,dkt
19,lh_cuneus_area,IDP (dkt),-0.01719732543468761,0.8128132884779312,0.6186811012388165,0.0002957480021067438,dsm5_scale1,,HCP_Development,dkt
20,lh_cuneus_area,IDP (dkt),-0.04481746858132436,0.4464163840273009,0.19440713497963102,0.002008605490038007,upps_neg,,HCP_Development,dkt
21,lh_cuneus_thickness,IDP (dkt),0.030393949101393935,0.9209715776711261,0.37897208941517935,0.0009237921419780193,cbcl_anx_dep,,HCP_Development,dkt
22,lh_cuneus_thickness,IDP (dkt),-0.014358336658295936,0.8460407808778516,0.6777423459720424,0.00020616183159305468,dsm5_scale1,,HCP_Development,dkt
23,lh_cuneus_thickness,IDP (dkt),0.03088792135491979,0.6111167472073098,0.3712698517979893,0.0009540636856277818,upps_neg,,HCP_Development,dkt
24,lh_cuneus_volume,IDP (dkt),-0.003714426673331113,0.9845302453136456,0.914396788530778,1.3796965511625459e-05,cbcl_anx_dep,,HCP_Development,dkt
25,lh_cuneus_volume,IDP (dkt),-0.008111786413132972,0.9004610832500084,0.8143983730115449,6.580107881237751e-05,dsm5_scale1,,HCP_Development,dkt
26,lh_cuneus_volume,IDP (dkt),-0.029632945862340807,0.614179712232358,0.3910284173375751,0.0008781114804803369,upps_neg,,HCP_Development,dkt
27,lh_entorhinal_area,IDP (dkt),-0.005748832391316116,0.9845302453136456,0.8678655808362143,3.3049073863367084e-05,cbcl_anx_dep,,HCP_Development,dkt
28,lh_entorhinal_area,IDP (dkt),0.037570742189558415,0.5595012372421608,0.2767425474531118,0.0014115606686744275,dsm5_scale1,,HCP_Development,dkt
29,lh_entorhinal_area,IDP (dkt),-0.025252456834226333,0.670223814637376,0.46483264563559956,0.0006376865761644757,upps_neg,,HCP_Development,dkt
30,lh_entorhinal_thickness,IDP (dkt),-0.055182611591295644,0.8525221603392927,0.11000285939861842,0.0030451206220356575,cbcl_anx_dep,,HCP_Development,dkt
31,lh_entorhinal_thickness,IDP (dkt),-0.008738171972103657,0.9004610832500084,0.8003578659546506,7.635564941432804e-05,dsm5_scale1,,HCP_Development,dkt
32,lh_entorhinal_thickness,IDP (dkt),-0.061661776378288465,0.40026825877507205,0.0740722693791589,0.0038021746661262013,upps_neg,,HCP_Development,dkt
33,lh_entorhinal_volume,IDP (dkt),-0.03352339162518455,0.9209715776711261,0.33183412764969633,0.0011238177860554144,cbcl_anx_dep,,HCP_Development,dkt
34,lh_entorhinal_volume,IDP (dkt),0.030945767903250175,0.6438281661404014,0.370374267618403,0.0009576405511219077,dsm5_scale1,,HCP_Development,dkt
35,lh_entorhinal_volume,IDP (dkt),-0.03298398857969327,0.5805255920205192,0.33967729621861853,0.0010879435026254214,upps_neg,,HCP_Development,dkt
36,lh_fusiform_area,IDP (dkt),-0.010912756959605219,0.981145814995647,0.7521390085283763,0.00011908826445938825,cbcl_anx_dep,,HCP_Development,dkt
37,lh_fusiform_area,IDP (dkt),-0.03476939789620936,0.593918224110414,0.31416711959326227,0.0012089110300651518,dsm5_scale1,,HCP_Development,dkt
38,lh_fusiform_area,IDP (dkt),-0.05545863613550334,0.4066720048483695,0.1082328916827684,0.003075660322010343,upps_neg,,HCP_Development,dkt
39,lh_fusiform_thickness,IDP (dkt),0.04132874623621673,0.9209715776711261,0.23148261414936444,0.0017080652654575257,cbcl_anx_dep,,HCP_Development,dkt
40,lh_fusiform_thickness,IDP (dkt),-0.03431204109082447,0.5962766772634773,0.320578858743805,0.0011773161638184426,dsm5_scale1,,HCP_Development,dkt
41,lh_fusiform_thickness,IDP (dkt),0.04781263528144866,0.43666796368522826,0.16621454464106167,0.002286048092556947,upps_neg,,HCP_Development,dkt
42,lh_fusiform_volume,IDP (dkt),0.006444140656726038,0.981145814995647,0.852058359083304,4.1526948803771724e-05,cbcl_anx_dep,,HCP_Development,dkt
43,lh_fusiform_volume,IDP (dkt),-0.03404905547896304,0.5972332430568453,0.3243040728426956,0.0011593381790095947,dsm5_scale1,,HCP_Development,dkt
44,lh_fusiform_volume,IDP (dkt),-0.04121563923635434,0.5034182363883185,0.23276327058814728,0.0016987289176614295,upps_neg,,HCP_Development,dkt
45,lh_inferiorparietal_area,IDP (dkt),0.0245294677354936,0.9209715776711261,0.47771673405383064,0.0006016947873865863,cbcl_anx_dep,,HCP_Development,dkt
46,lh_inferiorparietal_area,IDP (dkt),-0.025682039290601193,0.6994845603146432,0.45726955329798646,0.0006595671421241178,dsm5_scale1,,HCP_Development,dkt
47,lh_inferiorparietal_area,IDP (dkt),-0.02550094106415861,0.670223814637376,0.4604494702204551,0.0006502979951578114,upps_neg,,HCP_Development,dkt
48,lh_inferiorparietal_thickness,IDP (dkt),0.01830269379138363,0.9657573412375128,0.5963082192383347,0.0003349886000211244,cbcl_anx_dep,,HCP_Development,dkt
49,lh_inferiorparietal_thickness,IDP (dkt),-0.07952507804723606,0.17363102497020988,0.02116236734390542,0.006324238038418972,dsm5_scale1,,HCP_Development,dkt
50,lh_inferiorparietal_thickness,IDP (dkt),0.058688912873405476,0.4066720048483695,0.08914997080408793,0.003444388494262318,upps_neg,,HCP_Development,dkt
51,lh_inferiorparietal_volume,IDP (dkt),0.034952304109221004,0.9209715776711261,0.3116266673493129,0.0012216635625433847,cbcl_anx_dep,,HCP_Development,dkt
52,lh_inferiorparietal_volume,IDP (dkt),-0.048466481153717385,0.426445127343196,0.16049010168829958,0.0023489997954236896,dsm5_scale1,,HCP_Development,dkt
53,lh_inferiorparietal_volume,IDP (dkt),0.00018282806189185823,0.9957784363582023,0.9957784363582023,3.342610022105674e-08,upps_neg,,HCP_Development,dkt
54,lh_inferiortemporal_area,IDP (dkt),-0.007347306823456905,0.981145814995647,0.8316148268329531,5.398291755798201e-05,cbcl_anx_dep,,HCP_Development,dkt
55,lh_inferiortemporal_area,IDP (dkt),0.013930118934374446,0.8516775491164512,0.6868367331584284,0.0001940482135259769,dsm5_scale1,,HCP_Development,dkt
56,lh_inferiortemporal_area,IDP (dkt),-0.0330792631708389,0.5805255920205192,0.33828339936886564,0.0010942376519257335,upps_neg,,HCP_Development,dkt
57,lh_inferiortemporal_thickness,IDP (dkt),0.002038211303676219,0.9845302453136456,0.95296399935399,4.154305318415652e-06,cbcl_anx_dep,,HCP_Development,dkt
58,lh_inferiortemporal_thickness,IDP (dkt),-0.027286493888212342,0.6889061748074651,0.4296404100949782,0.0007445527487115466,dsm5_scale1,,HCP_Development,dkt
59,lh_inferiortemporal_thickness,IDP (dkt),0.054172533059609604,0.4066720048483695,0.11667513489386039,0.0029346633380944454,upps_neg,,HCP_Development,dkt
60,lh_inferiortemporal_volume,IDP (dkt),-0.017503479136977675,0.9657573412375128,0.612447858317613,0.0003063717818985179,cbcl_anx_dep,,HCP_Development,dkt
61,lh_inferiortemporal_volume,IDP (dkt),0.009571112725889012,0.9004610832500084,0.7817874247807763,9.16061988118777e-05,dsm5_scale1,,HCP_Development,dkt
62,lh_inferiortemporal_volume,IDP (dkt),-0.008165039908980053,0.8743099909921997,0.8132023034497342,6.666787671527619e-05,upps_neg,,HCP_Development,dkt
63,lh_isthmuscingulate_area,IDP (dkt),0.03571135962964071,0.9209715776711261,0.3012287194229233,0.0012753012065974678,cbcl_anx_dep,,HCP_Development,dkt
64,lh_isthmuscingulate_area,IDP (dkt),0.009225481640661877,0.9004610832500084,0.7894788760123301,8.510951150231261e-05,dsm5_scale1,,HCP_Development,dkt
65,lh_isthmuscingulate_area,IDP (dkt),-0.009773002506307386,0.8666562449342271,0.7773044828940403,9.551157798837195e-05,upps_neg,,HCP_Development,dkt
66,lh_isthmuscingulate_thickness,IDP (dkt),0.027494578775079954,0.9209715776711261,0.42612944485958737,0.0007559518620189332,cbcl_anx_dep,,HCP_Development,dkt
67,lh_isthmuscingulate_thickness,IDP (dkt),-0.0659487329131014,0.24869610093433295,0.056054733509836696,0.004349235372843707,dsm5_scale1,,HCP_Development,dkt
68,lh_isthmuscingulate_thickness,IDP (dkt),0.05709429871136494,0.4066720048483695,0.09820171660255239,0.0032597589453425835,upps_neg,,HCP_Development,dkt
69,lh_isthmuscingulate_volume,IDP (dkt),0.0562840249989683,0.8525221603392927,0.10307418909346389,0.0031678914700844496,cbcl_anx_dep,,HCP_Development,dkt
70,lh_isthmuscingulate_volume,IDP (dkt),0.00021314563107667421,0.9950784013561289,0.9950784013561289,4.543106024712529e-08,dsm5_scale1,,HCP_Development,dkt
71,lh_isthmuscingulate_volume,IDP (dkt),0.029491215583418173,0.614179712232358,0.3932992188278599,0.0008697317965876694,upps_neg,,HCP_Development,dkt
72,lh_lateraloccipital_area,IDP (dkt),0.01999380092968546,0.9631058206220411,0.5628116315339713,0.0003997520756158224,cbcl_anx_dep,,HCP_Development,dkt
73,lh_lateraloccipital_area,IDP (dkt),-0.01444768871339373,0.8460407808778516,0.6758505505174881,0.00020873570915924677,dsm5_scale1,,HCP_Development,dkt
74,lh_lateraloccipital_area,IDP (dkt),-0.014933859983185454,0.8187652751152644,0.6655931823823429,0.00022302017399744578,upps_neg,,HCP_Development,dkt
75,lh_lateraloccipital_thickness,IDP (dkt),0.02384177440900626,0.9209715776711261,0.49015055681678765,0.0005684302069699498,cbcl_anx_dep,,HCP_Development,dkt
76,lh_lateraloccipital_thickness,IDP (dkt),-0.021793887915987437,0.7574967198594464,0.5281835941294339,0.00047497355049486156,dsm5_scale1,,HCP_Development,dkt
77,lh_lateraloccipital_thickness,IDP (dkt),0.02413305352623094,0.6730187655546234,0.4848629816361265,0.0005824042725000034,upps_neg,,HCP_Development,dkt
78,lh_lateraloccipital_volume,IDP (dkt),0.024012025416734778,0.9209715776711261,0.4870562455638521,0.0005765773646136951,cbcl_anx_dep,,HCP_Development,dkt
79,lh_lateraloccipital_volume,IDP (dkt),-0.01026247203899065,0.9004610832500084,0.7664668116835045,0.00010531833235127852,dsm5_scale1,,HCP_Development,dkt
80,lh_lateraloccipital_volume,IDP (dkt),-0.005131700539242155,0.9063030329502487,0.8819400481935216,2.6334350424428443e-05,upps_neg,,HCP_Development,dkt
81,lh_lateralorbitofrontal_area,IDP (dkt),-0.022833213747890244,0.9209715776711261,0.5086956139056942,0.0005213556500567318,cbcl_anx_dep,,HCP_Development,dkt
82,lh_lateralorbitofrontal_area,IDP (dkt),-0.019120214168795134,0.7932379918135288,0.5800019725088168,0.00036558258986063574,dsm5_scale1,,HCP_Development,dkt
83,lh_lateralorbitofrontal_area,IDP (dkt),-0.052224690124663936,0.4066720048483695,0.13043378006480344,0.0027274182586173312,upps_neg,,HCP_Development,dkt
84,lh_lateralorbitofrontal_thickness,IDP (dkt),0.03937010378687341,0.9209715776711261,0.25437098024821236,0.0015500050721890535,cbcl_anx_dep,,HCP_Development,dkt
85,lh_lateralorbitofrontal_thickness,IDP (dkt),-0.03163905006386475,0.6312511365813153,0.35974527138505064,0.001001029488943761,dsm5_scale1,,HCP_Development,dkt
86,lh_lateralorbitofrontal_thickness,IDP (dkt),0.03430765292458868,0.5805255920205192,0.3206407875680721,0.0011770150491942077,upps_neg,,HCP_Development,dkt
87,lh_lateralorbitofrontal_volume,IDP (dkt),0.0019809708173122603,0.9845302453136456,0.9542834788650656,3.924245378872371e-06,cbcl_anx_dep,,HCP_Development,dkt
88,lh_lateralorbitofrontal_volume,IDP (dkt),-0.023390667118564502,0.7357336419683471,0.4984002090753319,0.0005471233082516846,dsm5_scale1,,HCP_Development,dkt
89,lh_lateralorbitofrontal_volume,IDP (dkt),-0.03321408640003319,0.5805255920205192,0.33631716817902246,0.0011031755353889672,upps_neg,,HCP_Development,dkt
90,lh_lingual_area,IDP (dkt),0.023183502155943253,0.9209715776711261,0.5022133020683408,0.0005374747722145523,cbcl_anx_dep,,HCP_Development,dkt
91,lh_lingual_area,IDP (dkt),0.024421295532417876,0.7194915824328887,0.4796610549552591,0.0005963996754817513,dsm5_scale1,,HCP_Development,dkt
92,lh_lingual_area,IDP (dkt),-0.017954938799648275,0.7847212052569177,0.6033071631813938,0.0003223798272992129,upps_neg,,HCP_Development,dkt
93,lh_lingual_thickness,IDP (dkt),0.09430786927087333,0.21202401462870873,0.006231777116112891,0.008893974206411914,cbcl_anx_dep,,HCP_Development,dkt
94,lh_lingual_thickness,IDP (dkt),0.028693232201226347,0.668666187122136,0.40623268357420095,0.0008233015741535565,dsm5_scale1,,HCP_Development,dkt
95,lh_lingual_thickness,IDP (dkt),0.05880531377426462,0.4066720048483695,0.08851641121515796,0.0034580649280897546,upps_neg,,HCP_Development,dkt
96,lh_lingual_volume,IDP (dkt),0.0582614701143314,0.8525221603392927,0.09150784320366623,0.003394398899883022,cbcl_anx_dep,,HCP_Development,dkt
97,lh_lingual_volume,IDP (dkt),0.040743153144777784,0.5273703142559274,0.23816723869622525,0.0016600045281790488,dsm5_scale1,,HCP_Development,dkt
98,lh_lingual_volume,IDP (dkt),-0.005586155103021817,0.900624165613331,0.8715717731741912,3.1205128834921325e-05,upps_neg,,HCP_Development,dkt
