,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,FS_L_Thalamus-Proper,IDP (feature),-0.06735828805337177,0.07775647484649761,0.03887823742324881,Neuroticism,['age'],HCP_YA,0.005185047287526889
1,FS_L_Thalamus-Proper,age,-0.032849136875401655,0.39855495035528443,0.3133821390889193,Neuroticism,['age'],HCP_YA,0.005185047287526889
2,FS_L_Thalamus-Proper,IDP (feature),-0.0014124659869444234,0.9654746702006056,0.9654746702006056,Sadness,['age'],HCP_YA,0.0016857672637935472
3,FS_L_Thalamus-Proper,age,-0.04117164019349932,0.230967766546315,0.20725004923869728,Sadness,['age'],HCP_YA,0.0016857672637935472
4,FS_L_Caudate,IDP (feature),-0.07895182274413111,0.07775647484649761,0.015444836654503247,Neuroticism,['age'],HCP_YA,0.006864063601007331
5,FS_L_Caudate,age,-0.03405200732434464,0.39855495035528443,0.2956382359215104,Neuroticism,['age'],HCP_YA,0.006864063601007331
6,FS_L_Caudate,IDP (feature),0.016549967148567282,0.8424960460396334,0.6120450630573651,Sadness,['age'],HCP_YA,0.001955042738637225
7,FS_L_Caudate,age,-0.039406198723058714,0.230967766546315,0.2273632141429609,Sadness,['age'],HCP_YA,0.001955042738637225
8,FS_L_Putamen,IDP (feature),-0.05533447083402607,0.12982940204323415,0.08925771390472348,Neuroticism,['age'],HCP_YA,0.003735157116748211
9,FS_L_Putamen,age,-0.0304964075543761,0.39855495035528443,0.3487355815608739,Neuroticism,['age'],HCP_YA,0.003735157116748211
10,FS_L_Putamen,IDP (feature),-0.04672383330068216,0.8424960460396334,0.15120375224104765,Sadness,['age'],HCP_YA,0.003854270806248894
11,FS_L_Putamen,age,-0.04458887072701263,0.230967766546315,0.17075686577823546,Sadness,['age'],HCP_YA,0.003854270806248894
12,FS_L_Pallidum,IDP (feature),-0.015132777748814647,0.6748240375793326,0.6423822054150365,Neuroticism,['age'],HCP_YA,0.000918622802072111
13,FS_L_Pallidum,age,-0.027450659104554413,0.39964668635729916,0.39964668635729916,Neuroticism,['age'],HCP_YA,0.000918622802072111
14,FS_L_Pallidum,IDP (feature),-0.013965212649180289,0.8424960460396334,0.6681039230800616,Sadness,['age'],HCP_YA,0.0018776639948963059
15,FS_L_Pallidum,age,-0.04210841296837185,0.230967766546315,0.1962601195432172,Sadness,['age'],HCP_YA,0.0018776639948963059
16,FS_L_Hippocampus,IDP (feature),-0.058417950228138504,0.11656688365407747,0.07285430228379841,Neuroticism,['age'],HCP_YA,0.00408223836556898
17,FS_L_Hippocampus,age,-0.030912002579522303,0.39855495035528443,0.3422423298146571,Neuroticism,['age'],HCP_YA,0.00408223836556898
18,FS_L_Hippocampus,IDP (feature),-0.013891654022714335,0.8424960460396334,0.6698033810439501,Sadness,['age'],HCP_YA,0.0018755593104229362
19,FS_L_Hippocampus,age,-0.04213397094818646,0.230967766546315,0.19606829124370062,Sadness,['age'],HCP_YA,0.0018755593104229362
20,FS_L_Amygdala,IDP (feature),-0.07223440748598954,0.07775647484649761,0.027673441948411925,Neuroticism,['age'],HCP_YA,0.005796690474380584
21,FS_L_Amygdala,age,-0.036874003714596544,0.39855495035528443,0.2605567611596762,Neuroticism,['age'],HCP_YA,0.005796690474380584
22,FS_L_Amygdala,IDP (feature),-0.014663512889039968,0.8424960460396334,0.6551248573652808,Sadness,['age'],HCP_YA,0.0018941904174570867
23,FS_L_Amygdala,age,-0.04318328792704139,0.230967766546315,0.18856305473808876,Sadness,['age'],HCP_YA,0.0018941904174570867
24,FS_L_Accumbens-area,IDP (feature),-0.04046993190457674,0.24640149063988226,0.215601304309897,Neuroticism,['age'],HCP_YA,0.002308631818987328
25,FS_L_Accumbens-area,age,-0.03077652392945623,0.39855495035528443,0.3462597598495336,Neuroticism,['age'],HCP_YA,0.002308631818987328
26,FS_L_Accumbens-area,IDP (feature),0.01673118074832382,0.8424960460396334,0.6086316961207969,Sadness,['age'],HCP_YA,0.0019602777036911156
27,FS_L_Accumbens-area,age,-0.03917772483153866,0.230967766546315,0.23068675496160673,Sadness,['age'],HCP_YA,0.0019602777036911156
28,FS_L_VentralDC,IDP (feature),-0.06762132801691262,0.07775647484649761,0.038478314148652215,Neuroticism,['age'],HCP_YA,0.005203516365096528
29,FS_L_VentralDC,age,-0.034039178856784716,0.39855495035528443,0.29707058507039497,Neuroticism,['age'],HCP_YA,0.005203516365096528
30,FS_L_VentralDC,IDP (feature),-0.0028968532730749407,0.9654746702006056,0.9293922276381532,Sadness,['age'],HCP_YA,0.0016920725956600657
31,FS_L_VentralDC,age,-0.04136614618881959,0.230967766546315,0.2059487015407515,Sadness,['age'],HCP_YA,0.0016920725956600657
32,FS_R_Thalamus-Proper,IDP (feature),-0.06177615043156076,0.10395566404959429,0.05847506102789679,Neuroticism,['age'],HCP_YA,0.004463701658396491
33,FS_R_Thalamus-Proper,age,-0.03288707728060463,0.39855495035528443,0.31346929262908696,Neuroticism,['age'],HCP_YA,0.004463701658396491
34,FS_R_Thalamus-Proper,IDP (feature),-0.012108802707853184,0.8424960460396334,0.7108435923878746,Sadness,['age'],HCP_YA,0.0018287403363791421
