,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,FS_L_Thalamus-Proper,IDP (feature),-0.036477714608766226,0.5084966712527635,0.2724413929292311,Neuroticism,['sex'],HCP_YA,0.016388830007999622
1,FS_L_Thalamus-Proper,sex,-0.1141875348766361,0.0006678625167728658,0.0006128594829861722,Neuroticism,['sex'],HCP_YA,0.016388830007999622
2,FS_L_Thalamus-Proper,IDP (feature),0.008122470530066676,0.9321569048566638,0.8083982513595229,Sadness,['sex'],HCP_YA,0.0004954583228182763
3,FS_L_Thalamus-Proper,sex,-0.022786275536947034,0.6886066837694522,0.49637655493318933,Sadness,['sex'],HCP_YA,0.0004954583228182763
4,FS_L_Caudate,IDP (feature),-0.057301328766716814,0.5084966712527635,0.07931135586928995,Neuroticism,['sex'],HCP_YA,0.018334944357165317
5,FS_L_Caudate,sex,-0.1138162381157781,0.0006678625167728658,0.0005070310154746682,Neuroticism,['sex'],HCP_YA,0.018334944357165317
6,FS_L_Caudate,IDP (feature),0.024404212368065028,0.9321569048566638,0.45851154152454154,Sadness,['sex'],HCP_YA,0.0010135276187250852
7,FS_L_Caudate,sex,-0.02474141530882615,0.6886066837694522,0.4523278315304513,Sadness,['sex'],HCP_YA,0.0010135276187250852
8,FS_L_Putamen,IDP (feature),-0.03530487717544568,0.5084966712527635,0.2790939092767013,Neuroticism,['sex'],HCP_YA,0.0163546223190405
9,FS_L_Putamen,sex,-0.11771887768058953,0.0006678625167728658,0.0003209920152307255,Neuroticism,['sex'],HCP_YA,0.0163546223190405
10,FS_L_Putamen,IDP (feature),-0.041130555983114124,0.9321569048566638,0.21065010621877955,Sadness,['sex'],HCP_YA,0.002086796986046857
11,FS_L_Putamen,sex,-0.014629726505564466,0.6997610665226583,0.6560259998649922,Sadness,['sex'],HCP_YA,0.002086796986046857
12,FS_L_Pallidum,IDP (feature),-0.001252945664490234,0.9691584069217374,0.9691584069217374,Neuroticism,['sex'],HCP_YA,0.015137952149444911
13,FS_L_Pallidum,sex,-0.12291010144169502,0.0006678625167728658,0.0001577683330651336,Neuroticism,['sex'],HCP_YA,0.015137952149444911
14,FS_L_Pallidum,IDP (feature),-0.008813325560510473,0.9321569048566638,0.7871893783295469,Sadness,['sex'],HCP_YA,0.0005103232640322197
15,FS_L_Pallidum,sex,-0.019973487609574736,0.6886066837694522,0.5406953354143322,Sadness,['sex'],HCP_YA,0.0005103232640322197
16,FS_L_Hippocampus,IDP (feature),-0.03105826239783966,0.5084966712527635,0.3468418116220011,Neuroticism,['sex'],HCP_YA,0.016056814315032142
17,FS_L_Hippocampus,sex,-0.11638190525395936,0.0006678625167728658,0.00044065910710555656,Neuroticism,['sex'],HCP_YA,0.016056814315032142
18,FS_L_Hippocampus,IDP (feature),-0.006392322409977796,0.9321569048566638,0.8476273805579937,Sadness,['sex'],HCP_YA,0.00047235012846902347
19,FS_L_Hippocampus,sex,-0.01944900997094593,0.6886066837694522,0.5588368616936883,Sadness,['sex'],HCP_YA,0.00047235012846902347
20,FS_L_Amygdala,IDP (feature),-0.03903114266743935,0.5084966712527635,0.24057625176819153,Neuroticism,['sex'],HCP_YA,0.016568389780468262
21,FS_L_Amygdala,sex,-0.11346779525454191,0.0006678625167728658,0.0006678625167728658,Neuroticism,['sex'],HCP_YA,0.016568389780468262
