,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,lh_caudalanteriorcingulate_area,IDP (feature),-0.0334152129731665,0.7128579509810241,0.3489709825300395,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0193776878280683
1,lh_caudalanteriorcingulate_area,hm,0.013113696631683,0.7792605193494483,0.7078642794784842,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0193776878280683
2,lh_caudalanteriorcingulate_area,age,-0.0566876142369866,0.1273459609978806,0.0874669264068224,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0193776878280683
3,lh_caudalanteriorcingulate_area,sex,-0.128577904743236,0.0062299452688297,0.0037602011502892,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0193776878280683
4,lh_caudalanteriorcingulate_area,FS_IntraCranial_Vol,-0.0037476494851702,0.9834937435912106,0.932442997421409,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0193776878280683
5,lh_caudalanteriorcingulate_area,IDP (feature),-0.0242205180014024,0.8309918568070144,0.5003821933461592,Sadness,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0045996799650588
6,lh_caudalanteriorcingulate_area,hm,-0.0064261049279743,0.9944107811375702,0.855375581445152,Sadness,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0045996799650588
7,lh_caudalanteriorcingulate_area,age,-0.0456773530674537,0.2537816946155331,0.171588402528485,Sadness,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0045996799650588
8,lh_caudalanteriorcingulate_area,sex,-0.058857494374167,0.2528215144836203,0.1872209737359067,Sadness,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0045996799650588
9,lh_caudalanteriorcingulate_area,FS_IntraCranial_Vol,0.0590684218601479,0.4768757442636367,0.1849876652333852,Sadness,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0045996799650588
10,lh_caudalanteriorcingulate_thickness,IDP (feature),0.0039189716215194,0.9835046369596084,0.903834015679218,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0184807407602171
11,lh_caudalanteriorcingulate_thickness,hm,0.012237219157661,0.7792605193494483,0.7266570769433662,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0184807407602171
12,lh_caudalanteriorcingulate_thickness,age,-0.0564022423634769,0.1273459609978806,0.0908299447859515,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0184807407602171
13,lh_caudalanteriorcingulate_thickness,sex,-0.1293914882602946,0.0062299452688297,0.0035557413396145,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0184807407602171
14,lh_caudalanteriorcingulate_thickness,FS_IntraCranial_Vol,-0.0171321907309646,0.9834937435912106,0.6820388000435997,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0184807407602171
15,lh_caudalanteriorcingulate_thickness,IDP (feature),0.0271418780409633,0.7949999418138046,0.4060483573780185,Sadness,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0048488579765988
16,lh_caudalanteriorcingulate_thickness,hm,-0.0075122367170067,0.9944107811375702,0.8312267048136266,Sadness,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0048488579765988
17,lh_caudalanteriorcingulate_thickness,age,-0.042970883881055,0.2537952289442894,0.2005801002946803,Sadness,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.0048488579765988
