,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,lh_caudalanteriorcingulate_area,IDP (feature),-0.0661126240836244,0.0839350830319297,0.0416225624305928,Neuroticism,,HCP_YA,0.0043708790632227
1,lh_caudalanteriorcingulate_area,IDP (feature),-0.0132536557296775,0.9578824207693564,0.6832845467601389,Sadness,,HCP_YA,0.0001756593902009
2,lh_caudalanteriorcingulate_thickness,IDP (feature),0.0103449936133543,0.7838636110820147,0.7501490471645087,Neuroticism,,HCP_YA,0.0001070188928603
3,lh_caudalanteriorcingulate_thickness,IDP (feature),0.030091203194527,0.8339533763853619,0.3542060039486214,Sadness,,HCP_YA,0.0009054805096943
4,lh_caudalanteriorcingulate_volume,IDP (feature),-0.0497107485780719,0.1913262019959589,0.1257403334893898,Neuroticism,,HCP_YA,0.0024711585241923
5,lh_caudalanteriorcingulate_volume,IDP (feature),-0.0084405677650478,0.9769164077161352,0.7950042574236473,Sadness,,HCP_YA,7.124318419649e-05
6,lh_caudalmiddlefrontal_area,IDP (feature),-0.0642302139565302,0.0907217223593509,0.0477996171570773,Neuroticism,,HCP_YA,0.0041255203849017
7,lh_caudalmiddlefrontal_area,IDP (feature),0.0346458406459748,0.8339533763853619,0.2860753197136894,Sadness,,HCP_YA,0.0012003342740664
8,lh_caudalmiddlefrontal_thickness,IDP (feature),0.083774437004631,0.033336780768652,0.0097876041261502,Neuroticism,,HCP_YA,0.0070181562954428
9,lh_caudalmiddlefrontal_thickness,IDP (feature),0.0995030112306698,0.1122436597148577,0.0021371946304451,Sadness,,HCP_YA,0.0099008492439707
10,lh_caudalmiddlefrontal_volume,IDP (feature),-0.0345132580687273,0.3719022506089238,0.28792432305207,Neuroticism,,HCP_YA,0.0011911649825185
11,lh_caudalmiddlefrontal_volume,IDP (feature),0.0584257841622015,0.4524846592530056,0.0718653049927751,Sadness,,HCP_YA,0.003413572254968
12,lh_cuneus_area,IDP (feature),-0.1473532811394859,0.0005007934718608,5.099045940148983e-06,Neuroticism,,HCP_YA,0.0217129894625723
13,lh_cuneus_area,IDP (feature),-0.047832427947492,0.6230911746214517,0.1406980071725858,Sadness,,HCP_YA,0.002287941163352
14,lh_cuneus_thickness,IDP (feature),-0.0110453337553383,0.7755511684460566,0.7338548690672364,Neuroticism,,HCP_YA,0.0001219993977668
15,lh_cuneus_thickness,IDP (feature),0.0458063420609766,0.6309781470910931,0.1583248353010344,Sadness,,HCP_YA,0.0020982209730073
16,lh_cuneus_volume,IDP (feature),-0.1270524836188994,0.0025154858588527,8.608768635753883e-05,Neuroticism,,HCP_YA,0.0161423335937306
17,lh_cuneus_volume,IDP (feature),-0.0101872489698848,0.9769164077161352,0.7538348557784571,Sadness,,HCP_YA,0.0001037800415745
18,lh_entorhinal_area,IDP (feature),-0.0657143157120686,0.0839350830319297,0.0428700692905017,Neuroticism,,HCP_YA,0.0043183712895054
19,lh_entorhinal_area,IDP (feature),0.0234556761335935,0.9076884934151253,0.4702329943605567,Sadness,,HCP_YA,0.000550168742884
20,lh_entorhinal_thickness,IDP (feature),0.0403305438807005,0.2908916041579526,0.2142588697292446,Neuroticism,,HCP_YA,0.0016265527697131
21,lh_entorhinal_thickness,IDP (feature),0.0256907423799817,0.9033589996461024,0.4289849139470383,Sadness,,HCP_YA,0.0006600142440347
22,lh_entorhinal_volume,IDP (feature),-0.0327713487757378,0.3959953897583109,0.3129640983573747,Neuroticism,,HCP_YA,0.0010739613005811
23,lh_entorhinal_volume,IDP (feature),0.0375973619828766,0.7530911990092469,0.2469815222557208,Sadness,,HCP_YA,0.0014135616280714
24,lh_fusiform_area,IDP (feature),-0.0744306056013519,0.0570446695140665,0.0217751157822512,Neuroticism,,HCP_YA,0.005539915050184
25,lh_fusiform_area,IDP (feature),0.0236388103532041,0.9076884934151253,0.4667730680396404,Sadness,,HCP_YA,0.0005587933549148
26,lh_fusiform_thickness,IDP (feature),0.0300188521572929,0.4348543782279633,0.3553648682293033,Neuroticism,,HCP_YA,0.0009011314848413
27,lh_fusiform_thickness,IDP (feature),0.0717980200600418,0.2927990823290298,0.0269040957754003,Sadness,,HCP_YA,0.0051549556845422
28,lh_fusiform_volume,IDP (feature),-0.0537171939575496,0.1612889717480389,0.0979873860619806,Neuroticism,,HCP_YA,0.0028855369266729
29,lh_fusiform_volume,IDP (feature),0.0538513469188164,0.5162847866218725,0.0971503630740082,Sadness,,HCP_YA,0.0028999675649707
30,lh_inferiorparietal_area,IDP (feature),-0.0745747966088838,0.0570446695140665,0.0215205670332094,Neuroticism,,HCP_YA,0.0055614002892564
