,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,lh_caudalanteriorcingulate_area,IDP (feature),-0.06869434713027424,0.06977678798308906,0.03488839399154453,Neuroticism,['age'],HCP_YA,0.005378892630099608
1,lh_caudalanteriorcingulate_area,age,-0.031854024247597854,0.540269025674643,0.32749976047978846,Neuroticism,['age'],HCP_YA,0.005378892630099608
2,lh_caudalanteriorcingulate_area,IDP (feature),-0.016689032717698643,0.9610162623281822,0.6084971353024773,Sadness,['age'],HCP_YA,0.0019604853680250667
3,lh_caudalanteriorcingulate_area,age,-0.042386646398059155,0.3314759125851564,0.19345011870235362,Sadness,['age'],HCP_YA,0.0019604853680250667
4,lh_caudalanteriorcingulate_thickness,IDP (feature),0.007905606347015847,0.8418519087439568,0.8086309104474441,Neuroticism,['age'],HCP_YA,0.0007529052951490423
5,lh_caudalanteriorcingulate_thickness,age,-0.025531098929028124,0.540269025674643,0.43418805874259325,Neuroticism,['age'],HCP_YA,0.0007529052951490423
6,lh_caudalanteriorcingulate_thickness,IDP (feature),0.026411689664785923,0.9058633333839686,0.41813181501876806,Sadness,['age'],HCP_YA,0.0023750003196475467
7,lh_caudalanteriorcingulate_thickness,age,-0.03851050025341947,0.3314759125851564,0.23786776359156514,Sadness,['age'],HCP_YA,0.0023750003196475467
8,lh_caudalanteriorcingulate_volume,IDP (feature),-0.05269545209901592,0.16462180012539643,0.10620761298412673,Neuroticism,['age'],HCP_YA,0.0034425537930008465
9,lh_caudalanteriorcingulate_volume,age,-0.03130980236150325,0.540269025674643,0.33691042095947865,Neuroticism,['age'],HCP_YA,0.0034425537930008465
10,lh_caudalanteriorcingulate_volume,IDP (feature),-0.012465542657651518,0.9610162623281822,0.7023905563623964,Sadness,['age'],HCP_YA,0.0018377687998698544
11,lh_caudalanteriorcingulate_volume,age,-0.042222340514939206,0.3314759125851564,0.19577506460170424,Sadness,['age'],HCP_YA,0.0018377687998698544
12,lh_caudalmiddlefrontal_area,IDP (feature),-0.06877907601045241,0.07015421108383511,0.03560451000192377,Neuroticism,['age'],HCP_YA,0.005342446737074069
13,lh_caudalmiddlefrontal_area,age,-0.03517980241783615,0.540269025674643,0.282026243512006,Neuroticism,['age'],HCP_YA,0.005342446737074069
14,lh_caudalmiddlefrontal_area,IDP (feature),0.029838894997026213,0.8863330874545319,0.36215760562658295,Sadness,['age'],HCP_YA,0.002559264583938514
15,lh_caudalmiddlefrontal_area,age,-0.03717575871914571,0.3314759125851564,0.2562968141714044,Sadness,['age'],HCP_YA,0.002559264583938514
