,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,lh_caudalanteriorcingulate_area,IDP (feature),-0.03315525090340521,0.7002690787945738,0.3252540504424437,Neuroticism,['sex'],HCP_YA,0.01614280651731015
1,lh_caudalanteriorcingulate_area,sex,-0.11339363254181191,0.0015204411409764358,0.0007929182294339476,Neuroticism,['sex'],HCP_YA,0.01614280651731015
2,lh_caudalanteriorcingulate_area,IDP (feature),-0.007867826482402246,0.920758984317941,0.8168023247981735,Sadness,['sex'],HCP_YA,0.0004900340689757421
3,lh_caudalanteriorcingulate_area,sex,-0.01853056489844968,0.7244064347348823,0.585356427908625,Sadness,['sex'],HCP_YA,0.0004900340689757421
4,lh_caudalanteriorcingulate_thickness,IDP (feature),0.009959372202025947,0.8974303459407683,0.7575084102833367,Neuroticism,['sex'],HCP_YA,0.015235584787345657
5,lh_caudalanteriorcingulate_thickness,sex,-0.12299883982525188,0.0005086304051320086,0.0001454529249846903,Neuroticism,['sex'],HCP_YA,0.015235584787345657
6,lh_caudalanteriorcingulate_thickness,IDP (feature),0.03002623265429409,0.7427431591295244,0.3553986084006864,Sadness,['sex'],HCP_YA,0.0013349263867636907
7,lh_caudalanteriorcingulate_thickness,sex,-0.020723177802653134,0.7193232546324164,0.5235336630429899,Sadness,['sex'],HCP_YA,0.0013349263867636907
8,lh_caudalanteriorcingulate_volume,IDP (feature),-0.01865543309051757,0.8395109458562795,0.576820935670344,Neuroticism,['sex'],HCP_YA,0.015460367425260912
9,lh_caudalanteriorcingulate_volume,sex,-0.11812553289234265,0.001007757147527198,0.0004280258852400465,Neuroticism,['sex'],HCP_YA,0.015460367425260912
10,lh_caudalanteriorcingulate_volume,IDP (feature),-0.0031880220120818533,0.9620129153857984,0.9245921839881106,Sadness,['sex'],HCP_YA,0.00044282161684494614
11,lh_caudalanteriorcingulate_volume,sex,-0.019979180902514777,0.7193232546324164,0.5531019002187534,Sadness,['sex'],HCP_YA,0.00044282161684494614
12,lh_caudalmiddlefrontal_area,IDP (feature),-0.018985888589451824,0.8395109458562795,0.5880491707551738,Neuroticism,['sex'],HCP_YA,0.0154416426479419
13,lh_caudalmiddlefrontal_area,sex,-0.11559918356529125,0.0018363747774719072,0.0010059085570837123,Neuroticism,['sex'],HCP_YA,0.0154416426479419
14,lh_caudalmiddlefrontal_area,IDP (feature),0.050534728759121385,0.5554132753550876,0.1522093501458115,Sadness,['sex'],HCP_YA,0.0025959196533247297
15,lh_caudalmiddlefrontal_area,sex,-0.0405960853375105,0.7193232546324164,0.2499766679834452,Sadness,['sex'],HCP_YA,0.0025959196533247297
16,lh_caudalmiddlefrontal_thickness,IDP (feature),0.09457043169737987,0.10452536974071203,0.003407359446914171,Neuroticism,['sex'],HCP_YA,0.02401906611198934
17,lh_caudalmiddlefrontal_thickness,sex,-0.13083372393214196,0.0005086304051320086,5.278317871759697e-05,Neuroticism,['sex'],HCP_YA,0.02401906611198934
18,lh_caudalmiddlefrontal_thickness,IDP (feature),0.10191473329387882,0.09848731822386758,0.001727197083204901,Sadness,['sex'],HCP_YA,0.010749250595625703
19,lh_caudalmiddlefrontal_thickness,sex,-0.029227003865689605,0.7193232546324164,0.36770970122043267,Sadness,['sex'],HCP_YA,0.010749250595625703
20,lh_caudalmiddlefrontal_volume,IDP (feature),0.015772083367993038,0.8570700934573448,0.6524227179373931,Neuroticism,['sex'],HCP_YA,0.015347455644755037
21,lh_caudalmiddlefrontal_volume,sex,-0.12917006706525905,0.0006043284882176499,0.0002371826862359594,Neuroticism,['sex'],HCP_YA,0.015347455644755037
22,lh_caudalmiddlefrontal_volume,IDP (feature),0.07841352868542122,0.20811523017964018,0.02604815298483132,Sadness,['sex'],HCP_YA,0.005650202761125933
23,lh_caudalmiddlefrontal_volume,sex,-0.0513433582587192,0.7193232546324164,0.14476062528293587,Sadness,['sex'],HCP_YA,0.005650202761125933
24,lh_cuneus_area,IDP (feature),-0.11584761541570636,0.10452536974071203,0.0011550949504279817,Neuroticism,['sex'],HCP_YA,0.02606419085137779
25,lh_cuneus_area,sex,-0.07310135676923989,0.04040317706488162,0.0399687343007431,Neuroticism,['sex'],HCP_YA,0.02606419085137779
26,lh_cuneus_area,IDP (feature),-0.047725399947486195,0.587084715137072,0.18489907081520274,Sadness,['sex'],HCP_YA,0.002287991377567633
27,lh_cuneus_area,sex,-0.0002483328580109246,0.9944930936741163,0.9944930936741163,Sadness,['sex'],HCP_YA,0.002287991377567633
28,lh_cuneus_thickness,IDP (feature),-0.008280533278442461,0.932871846005753,0.7974549651339502,Neuroticism,['sex'],HCP_YA,0.015204929166324432
29,lh_cuneus_thickness,sex,-0.12284369699025818,0.0005086304051320086,0.00014886336711894543,Neuroticism,['sex'],HCP_YA,0.015204929166324432
30,lh_cuneus_thickness,IDP (feature),0.04629832253638384,0.5554132753550876,0.15413085914075242,Sadness,['sex'],HCP_YA,0.002575809464561152
31,lh_cuneus_thickness,sex,-0.021859335221868396,0.7193232546324164,0.5008681406938584,Sadness,['sex'],HCP_YA,0.002575809464561152
32,lh_cuneus_volume,IDP (feature),-0.0921299694986789,0.15283803504593016,0.009038808524221675,Neuroticism,['sex'],HCP_YA,0.022202298826416
33,lh_cuneus_volume,sex,-0.08532026268807558,0.01638869301529673,0.015595691740363016,Neuroticism,['sex'],HCP_YA,0.022202298826416
34,lh_cuneus_volume,IDP (feature),-0.002001880856109079,0.9716183995894531,0.9551783967992156,Sadness,['sex'],HCP_YA,0.00043669672540824767
35,lh_cuneus_volume,sex,-0.01999792326697284,0.7220220791149268,0.5745121919839202,Sadness,['sex'],HCP_YA,0.00043669672540824767
36,lh_entorhinal_area,IDP (feature),-0.017381900400496492,0.8415291922743109,0.6243603684615855,Neuroticism,['sex'],HCP_YA,0.015385870556080983
37,lh_entorhinal_area,sex,-0.11577357918120003,0.002007277908766582,0.00114333949811396,Neuroticism,['sex'],HCP_YA,0.015385870556080983
38,lh_entorhinal_area,IDP (feature),0.03893150272817939,0.7138296873554856,0.27617703603861776,Sadness,['sex'],HCP_YA,0.001684866546634023
39,lh_entorhinal_area,sex,-0.0370701903493291,0.7193232546324164,0.29977533314076044,Sadness,['sex'],HCP_YA,0.001684866546634023
40,lh_entorhinal_thickness,IDP (feature),0.0409668034789249,0.5267342528037685,0.2038971301175878,Neuroticism,['sex'],HCP_YA,0.016814630922908358
41,lh_entorhinal_thickness,sex,-0.12324156352250301,0.0005086304051320086,0.00013944737865179135,Neuroticism,['sex'],HCP_YA,0.016814630922908358
42,lh_entorhinal_thickness,IDP (feature),0.025798903626845705,0.7885610321444354,0.4271935756838443,Sadness,['sex'],HCP_YA,0.0010989262893711382
43,lh_entorhinal_thickness,sex,-0.020950507015149375,0.7193232546324164,0.5190422457601103,Sadness,['sex'],HCP_YA,0.0010989262893711382
44,lh_entorhinal_volume,IDP (feature),0.016547026269353747,0.8501499229448419,0.6353270929534034,Neuroticism,['sex'],HCP_YA,0.015370390540117795
45,lh_entorhinal_volume,sex,-0.12933959701740425,0.0005870861943705944,0.0002209464172362452,Neuroticism,['sex'],HCP_YA,0.015370390540117795
46,lh_entorhinal_volume,IDP (feature),0.05328225912127896,0.5119233762404591,0.12935698216828806,Sadness,['sex'],HCP_YA,0.002859578669274665
47,lh_entorhinal_volume,sex,-0.04113432920864847,0.7193232546324164,0.24153955024524776,Sadness,['sex'],HCP_YA,0.002859578669274665
48,lh_fusiform_area,IDP (feature),-0.019741369686226227,0.8395109458562795,0.5917265556346867,Neuroticism,['sex'],HCP_YA,0.01543566642839067
49,lh_fusiform_area,sex,-0.11351944284212566,0.0031534085008871893,0.0020935109244928363,Neuroticism,['sex'],HCP_YA,0.01543566642839067
50,lh_fusiform_area,IDP (feature),0.04384360002260223,0.6386737313170285,0.236927351940188,Sadness,['sex'],HCP_YA,0.0019094772815404504
51,lh_fusiform_area,sex,-0.041939449831992284,0.7193232546324164,0.2578985737797308,Sadness,['sex'],HCP_YA,0.0019094772815404504
52,lh_fusiform_thickness,IDP (feature),0.03322272524022198,0.6631869934185158,0.3030693249493217,Neuroticism,['sex'],HCP_YA,0.016239407974076525
53,lh_fusiform_thickness,sex,-0.12388922992724644,0.0005086304051320086,0.00012988325696872138,Neuroticism,['sex'],HCP_YA,0.016239407974076525
54,lh_fusiform_thickness,IDP (feature),0.07238478174294619,0.20811523017964018,0.025774165695493956,Sadness,['sex'],HCP_YA,0.005669413116641375
55,lh_fusiform_thickness,sex,-0.022689242415113227,0.7193232546324164,0.4841130352104077,Sadness,['sex'],HCP_YA,0.005669413116641375
56,lh_fusiform_volume,IDP (feature),0.004657101406495606,0.9555926088913558,0.8983692387585052,Neuroticism,['sex'],HCP_YA,0.015153370537063116
57,lh_fusiform_volume,sex,-0.12520140562165688,0.001308768714807754,0.0006192024027047438,Neuroticism,['sex'],HCP_YA,0.015153370537063116
58,lh_fusiform_volume,IDP (feature),0.08121117887288645,0.20811523017964018,0.026853578087695507,Sadness,['sex'],HCP_YA,0.005594921993405166
59,lh_fusiform_volume,sex,-0.05868146924702349,0.7193232546324164,0.10948377159176959,Sadness,['sex'],HCP_YA,0.005594921993405166
60,lh_inferiorparietal_area,IDP (feature),-0.01883849019423573,0.8395109458562795,0.6106073622361432,Neuroticism,['sex'],HCP_YA,0.01540616073463874
61,lh_inferiorparietal_area,sex,-0.11380376223187647,0.003173778650375138,0.0021499790857379963,Neuroticism,['sex'],HCP_YA,0.01540616073463874
62,lh_inferiorparietal_area,IDP (feature),0.016324623352570043,0.9181018852475552,0.6613925076582028,Sadness,['sex'],HCP_YA,0.0006359320588792405
63,lh_inferiorparietal_area,sex,-0.028812430312357605,0.7193232546324164,0.43954734910985205,Sadness,['sex'],HCP_YA,0.0006359320588792405
64,lh_inferiorparietal_thickness,IDP (feature),0.0031500872488180323,0.9555926088913558,0.9222182793229647,Neuroticism,['sex'],HCP_YA,0.015146316570876062
65,lh_inferiorparietal_thickness,sex,-0.12297397093781359,0.0005086304051320086,0.00014634274637437272,Neuroticism,['sex'],HCP_YA,0.015146316570876062
66,lh_inferiorparietal_thickness,IDP (feature),0.02292714757569681,0.8051679846049947,0.48050347468362586,Sadness,['sex'],HCP_YA,0.000958848020588654
67,lh_inferiorparietal_thickness,sex,-0.02040905457459739,0.7193232546324164,0.5299870900037349,Sadness,['sex'],HCP_YA,0.000958848020588654
68,lh_inferiorparietal_volume,IDP (feature),-0.011371164646541402,0.8974303459407683,0.7552806357061215,Neuroticism,['sex'],HCP_YA,0.015237475992365468
69,lh_inferiorparietal_volume,sex,-0.11771743189908428,0.0021835050930423946,0.0012913202163153947,Neuroticism,['sex'],HCP_YA,0.015237475992365468
70,lh_inferiorparietal_volume,IDP (feature),0.029921781658664742,0.7885610321444354,0.41551633599031135,Sadness,['sex'],HCP_YA,0.0011332466478001235
71,lh_inferiorparietal_volume,sex,-0.03479683463406607,0.7193232546324164,0.3437279974604186,Sadness,['sex'],HCP_YA,0.0011332466478001235
72,lh_inferiortemporal_area,IDP (feature),-0.02885114772214916,0.7994911080639273,0.42983392906662754,Neuroticism,['sex'],HCP_YA,0.01578471772949719
73,lh_inferiortemporal_area,sex,-0.10946291025109971,0.0038033293547598645,0.002801257694099668,Neuroticism,['sex'],HCP_YA,0.01578471772949719
74,lh_inferiortemporal_area,IDP (feature),-0.009970532436921286,0.920758984317941,0.786561867886733,Sadness,['sex'],HCP_YA,0.0005107890650245528
75,lh_inferiortemporal_area,sex,-0.016128706058851555,0.7547051671301167,0.6613814099043496,Sadness,['sex'],HCP_YA,0.0005107890650245528
76,lh_inferiortemporal_thickness,IDP (feature),0.049243095765810124,0.4337776053330705,0.12826757146945633,Neuroticism,['sex'],HCP_YA,0.01754056884940436
77,lh_inferiortemporal_thickness,sex,-0.1275809210148923,0.0005086304051320086,8.603103067272855e-05,Neuroticism,['sex'],HCP_YA,0.01754056884940436
78,lh_inferiortemporal_thickness,IDP (feature),0.078266572610436,0.16919539990318455,0.016316401522378676,Sadness,['sex'],HCP_YA,0.006506699330486421
79,lh_inferiortemporal_thickness,sex,-0.028050409630197636,0.7193232546324164,0.38872899175446096,Sadness,['sex'],HCP_YA,0.006506699330486421
80,lh_inferiortemporal_volume,IDP (feature),0.0003444771733456682,0.995434716504342,0.9924557696152825,Neuroticism,['sex'],HCP_YA,0.015136489696585653
81,lh_inferiortemporal_volume,sex,-0.12319017522491899,0.001496511680398882,0.000748255840199441,Neuroticism,['sex'],HCP_YA,0.015136489696585653
