,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,FS_L_Thalamus-Proper,IDP (feature),-0.010394410509895147,0.5433752407261757,0.31586401984972445,cbcl_scr_syn_anxdep_r,,ABCD,0.00010804376984818731
1,FS_L_Thalamus-Proper,IDP (feature),0.010281157771486183,0.9393210773541967,0.321165957495672,cbcl_scr_dsm5_depress_r,,ABCD,0.00010570220512218231
2,FS_L_Thalamus-Proper,IDP (feature),-0.01456447018506725,0.9396086575288685,0.15989825298156335,upps_y_ss_negative_urgency,,ABCD,0.00021212379177171226
3,FS_L_Caudate,IDP (feature),-0.020997178219503036,0.1709523183381716,0.0427380795845429,cbcl_scr_syn_anxdep_r,,ABCD,0.00044088149318166625
4,FS_L_Caudate,IDP (feature),0.005155207498252546,0.9393210773541967,0.6188829760024737,cbcl_scr_dsm5_depress_r,,ABCD,2.657616435008947e-05
5,FS_L_Caudate,IDP (feature),0.007109508016791927,0.977395886228555,0.49270571439318633,upps_y_ss_negative_urgency,,ABCD,5.0545104240851124e-05
6,FS_L_Putamen,IDP (feature),-0.02154340113909264,0.1709523183381716,0.03761881016926161,cbcl_scr_syn_anxdep_r,,ABCD,0.0004641181326398014
7,FS_L_Putamen,IDP (feature),0.004661025336355368,0.9393210773541967,0.6528913467256658,cbcl_scr_dsm5_depress_r,,ABCD,2.1725157186125443e-05
8,FS_L_Putamen,IDP (feature),-0.0037998514004402247,0.977395886228555,0.7138782213365942,upps_y_ss_negative_urgency,,ABCD,1.443887066565619e-05
9,FS_L_Pallidum,IDP (feature),-0.006160623964345919,0.6076753204074615,0.5522111814216906,cbcl_scr_syn_anxdep_r,,ABCD,3.795328763001038e-05
10,FS_L_Pallidum,IDP (feature),0.004755331922902322,0.9393210773541967,0.6463426011999132,cbcl_scr_dsm5_depress_r,,ABCD,2.2613181697050955e-05
11,FS_L_Pallidum,IDP (feature),-0.002150233153675219,0.977395886228555,0.8356363837683034,upps_y_ss_negative_urgency,,ABCD,4.6235026154306524e-06
12,FS_L_Hippocampus,IDP (feature),-0.012252066617289791,0.5419507745754345,0.23710346387675263,cbcl_scr_syn_anxdep_r,,ABCD,0.00015011313639456958
13,FS_L_Hippocampus,IDP (feature),0.000788915529640179,0.9393210773541967,0.9393210773541967,cbcl_scr_dsm5_depress_r,,ABCD,6.223877129230004e-07
14,FS_L_Hippocampus,IDP (feature),-0.0017371412007676202,0.977395886228555,0.8668834158857315,upps_y_ss_negative_urgency,,ABCD,3.0176595513520255e-06
15,FS_L_Amygdala,IDP (feature),-0.013836231635803524,0.4848859559537857,0.18183223348266964,cbcl_scr_syn_anxdep_r,,ABCD,0.00019144130587955832
16,FS_L_Amygdala,IDP (feature),-0.00558628979181966,0.9393210773541967,0.5898657988247291,cbcl_scr_dsm5_depress_r,,ABCD,3.120663363831433e-05
17,FS_L_Amygdala,IDP (feature),0.007381069863935145,0.977395886228555,0.4763310224910644,upps_y_ss_negative_urgency,,ABCD,5.4480192336447963e-05
18,FS_L_Accumbens-area,IDP (feature),-0.010337077164783087,0.5433752407261757,0.3185408631039155,cbcl_scr_syn_anxdep_r,,ABCD,0.00010685516431063746
19,FS_L_Accumbens-area,IDP (feature),-0.0011299471073189086,0.9393210773541967,0.9131789457560646,cbcl_scr_dsm5_depress_r,,ABCD,1.2767804652424886e-06
20,FS_L_Accumbens-area,IDP (feature),-0.0031148599736253507,0.977395886228555,0.7637527279208232,upps_y_ss_negative_urgency,,ABCD,9.7023526554052e-06
21,FS_L_VentralDC,IDP (feature),-0.005891692567366001,0.6076753204074615,0.5696956128819952,cbcl_scr_syn_anxdep_r,,ABCD,3.471204130844896e-05
22,FS_L_VentralDC,IDP (feature),0.006623147027357193,0.9393210773541967,0.5227704736755194,cbcl_scr_dsm5_depress_r,,ABCD,4.3866076546161814e-05
23,FS_L_VentralDC,IDP (feature),-0.012309762949805219,0.9396086575288685,0.23490216438221712,upps_y_ss_negative_urgency,,ABCD,0.0001515302638802618
24,FS_R_Thalamus-Proper,IDP (feature),-0.007783904130249652,0.5719691739625011,0.45259997176569766,cbcl_scr_syn_anxdep_r,,ABCD,6.05891635089284e-05
25,FS_R_Thalamus-Proper,IDP (feature),0.014480419129997897,0.9393210773541967,0.1623226561281761,cbcl_scr_dsm5_depress_r,,ABCD,0.00020968253818043348
26,FS_R_Thalamus-Proper,IDP (feature),-0.01635465551672287,0.9396086575288685,0.11452391949042662,upps_y_ss_negative_urgency,,ABCD,0.00026747475707089574
27,FS_R_Caudate,IDP (feature),-0.02892113252232743,0.08401800338424792,0.005251125211515495,cbcl_scr_syn_anxdep_r,,ABCD,0.0008364319063740577
28,FS_R_Caudate,IDP (feature),-0.005089816532155601,0.9393210773541967,0.6233385192037746,cbcl_scr_dsm5_depress_r,,ABCD,2.5906232330896728e-05
29,FS_R_Caudate,IDP (feature),0.007225453005756752,0.977395886228555,0.48567776620208836,upps_y_ss_negative_urgency,,ABCD,5.220717113829654e-05
30,FS_R_Putamen,IDP (feature),-0.02456134403927492,0.14218751487062242,0.017773439358827803,cbcl_scr_syn_anxdep_r,,ABCD,0.0006032596210155949
31,FS_R_Putamen,IDP (feature),0.004093769418213499,0.9393210773541967,0.6928330852527318,cbcl_scr_dsm5_depress_r,,ABCD,1.6758948049533373e-05
