,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,lh_caudalanteriorcingulate_area,IDP (feature),-0.024372267100102048,0.20356133266358384,0.018670158573078632,cbcl_scr_syn_anxdep_r,,ABCD,0.0005940074035986065
1,lh_caudalanteriorcingulate_area,IDP (feature),-0.0284332566656304,0.04780755853744406,0.0060675905510079176,cbcl_scr_dsm5_depress_r,,ABCD,0.000808450084613721
2,lh_caudalanteriorcingulate_area,IDP (feature),-0.016081376350840376,0.31622182410917027,0.1207083307083392,upps_y_ss_negative_urgency,,ABCD,0.00025861066533749977
3,lh_caudalanteriorcingulate_thickness,IDP (feature),0.0063144866066703375,0.7767166401460341,0.5423277454742568,cbcl_scr_syn_anxdep_r,,ABCD,3.987274110572869e-05
4,lh_caudalanteriorcingulate_thickness,IDP (feature),0.020038956205175415,0.1768832889447876,0.053141201055580733,cbcl_scr_dsm5_depress_r,,ABCD,0.00040155976579303587
5,lh_caudalanteriorcingulate_thickness,IDP (feature),0.013962249280769471,0.39388795402543886,0.1778848824631014,upps_y_ss_negative_urgency,,ABCD,0.0001949444049785809
6,lh_caudalanteriorcingulate_volume,IDP (feature),-0.019945493154046697,0.252311588961398,0.05426055676589203,cbcl_scr_syn_anxdep_r,,ABCD,0.00039782269715804564
7,lh_caudalanteriorcingulate_volume,IDP (feature),-0.022223010250323416,0.13521413178344713,0.03198613870146061,cbcl_scr_dsm5_depress_r,,ABCD,0.0004938621845862468
8,lh_caudalanteriorcingulate_volume,IDP (feature),-0.011854195825271792,0.499112845842786,0.25268062641369404,upps_y_ss_negative_urgency,,ABCD,0.0001405219586639861
9,lh_caudalmiddlefrontal_area,IDP (feature),0.0022676731202202448,0.912454539737289,0.8267979205920859,cbcl_scr_syn_anxdep_r,,ABCD,5.142341380048876e-06
10,lh_caudalmiddlefrontal_area,IDP (feature),-0.0055151616044848365,0.7373167041672831,0.5946102452961961,cbcl_scr_dsm5_depress_r,,ABCD,3.0417007523708683e-05
11,lh_caudalmiddlefrontal_area,IDP (feature),-0.029003892921861205,0.11823695554313851,0.005122915652794324,upps_y_ss_negative_urgency,,ABCD,0.0008412258046228693
12,lh_caudalmiddlefrontal_thickness,IDP (feature),0.010181729410526967,0.5999039153798315,0.32586834232431494,cbcl_scr_syn_anxdep_r,,ABCD,0.00010366761378921563
13,lh_caudalmiddlefrontal_thickness,IDP (feature),-0.0019815814090728,0.8988348447692958,0.8483651233477021,cbcl_scr_dsm5_depress_r,,ABCD,3.926664880915531e-06
14,lh_caudalmiddlefrontal_thickness,IDP (feature),0.016679017487301707,0.30648506820889604,0.10751013729469894,upps_y_ss_negative_urgency,,ABCD,0.0002781896243416737
15,lh_caudalmiddlefrontal_volume,IDP (feature),0.0059637115893900776,0.7767166401460341,0.5649875325269735,cbcl_scr_syn_anxdep_r,,ABCD,3.556585592146e-05
16,lh_caudalmiddlefrontal_volume,IDP (feature),-0.007717547063299018,0.6152321084840212,0.45646253210104804,cbcl_scr_dsm5_depress_r,,ABCD,5.956053267430761e-05
17,lh_caudalmiddlefrontal_volume,IDP (feature),-0.018228595455699544,0.2609668422667681,0.07857066218784414,upps_y_ss_negative_urgency,,ABCD,0.00033228169228760596
18,lh_cuneus_area,IDP (feature),-0.006279650011716866,0.7767166401460341,0.544557745623355,cbcl_scr_syn_anxdep_r,,ABCD,3.9434004269423006e-05
19,lh_cuneus_area,IDP (feature),-0.008131746953142891,0.5874031435854695,0.4326571541462867,cbcl_scr_dsm5_depress_r,,ABCD,6.61253085100233e-05
20,lh_cuneus_area,IDP (feature),-0.015802988138467217,0.3214359143262567,0.12727399546752993,upps_y_ss_negative_urgency,,ABCD,0.00024973443410458707
