,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,FS_L_Thalamus-Proper,IDP (feature),0.13059174513306135,0.23019091789053014,0.07100339944920897,hamd_total,,ANXPE,0.01705420389689849
1,FS_L_Thalamus-Proper,IDP (feature),0.09518241657030764,0.5973742683551491,0.18909618242839987,neo_v2,,ANXPE,0.009059692424163712
2,FS_L_Caudate,IDP (feature),0.07321538224736887,0.42284464072572314,0.3128631007134566,hamd_total,,ANXPE,0.005360492197628242
3,FS_L_Caudate,IDP (feature),0.1791188288653506,0.20421313874708247,0.012923379495800358,neo_v2,,ANXPE,0.032083554854094753
4,FS_L_Putamen,IDP (feature),0.07297163960390317,0.42284464072572314,0.3144811253037332,hamd_total,,ANXPE,0.005324860186481928
5,FS_L_Putamen,IDP (feature),0.030297260960345865,0.7732083366858135,0.6765572946000868,neo_v2,,ANXPE,0.0009179240216992124
6,FS_L_Pallidum,IDP (feature),0.06463703708493868,0.4263762010843128,0.3730791759487737,hamd_total,,ANXPE,0.004177946563119761
7,FS_L_Pallidum,IDP (feature),0.05879607856288054,0.6882110267533168,0.41789220614854283,neo_v2,,ANXPE,0.003456978854372461
8,FS_L_Hippocampus,IDP (feature),0.14169870832736958,0.23019091789053014,0.049935356519887675,hamd_total,,ANXPE,0.020078523941645
9,FS_L_Hippocampus,IDP (feature),0.04713941393408564,0.6882110267533168,0.5161582700649876,neo_v2,,ANXPE,0.0022221243460490703
10,FS_L_Amygdala,IDP (feature),0.06973948623987315,0.42284464072572314,0.33645194040941595,hamd_total,,ANXPE,0.004863595941001386
11,FS_L_Amygdala,IDP (feature),0.038362063541780796,0.7351414031313936,0.5973023900442573,neo_v2,,ANXPE,0.0014716479191837495
12,FS_L_Accumbens-area,IDP (feature),0.07983222817868417,0.42284464072572314,0.27101758359862793,hamd_total,,ANXPE,0.006373184655973585
13,FS_L_Accumbens-area,IDP (feature),0.07538711020847266,0.5973742683551491,0.29868713417757453,neo_v2,,ANXPE,0.005683216385584333
14,FS_L_VentralDC,IDP (feature),0.12411018821412272,0.23019091789053014,0.0863215942089488,hamd_total,,ANXPE,0.015403338818544832
15,FS_L_VentralDC,IDP (feature),0.08677473402461004,0.5973742683551491,0.2313871453817855,neo_v2,,ANXPE,0.007529854465041952
16,FS_R_Thalamus-Proper,IDP (feature),0.13965022036150707,0.23019091789053014,0.05337288276385066,hamd_total,,ANXPE,0.019502184047017534
17,FS_R_Thalamus-Proper,IDP (feature),0.07668153486049475,0.5973742683551491,0.2904433388131942,neo_v2,,ANXPE,0.005880057788561377
18,FS_R_Caudate,IDP (feature),0.08042561817687204,0.42284464072572314,0.26746023470752034,hamd_total,,ANXPE,0.0064682800591321366
19,FS_R_Caudate,IDP (feature),0.16117454137666642,0.20421313874708247,0.02552664234338531,neo_v2,,ANXPE,0.02597723278797881
20,FS_R_Putamen,IDP (feature),0.09117320434304174,0.42284464072572314,0.20849861173871131,hamd_total,,ANXPE,0.008312553190177985
21,FS_R_Putamen,IDP (feature),0.05265610123457367,0.6882110267533168,0.4682291779753478,neo_v2,,ANXPE,0.0027726649972258377
22,FS_R_Pallidum,IDP (feature),0.06872272323904342,0.42284464072572314,0.34356127058965,hamd_total,,ANXPE,0.004722812689390121
23,FS_R_Pallidum,IDP (feature),0.09489226500817825,0.5973742683551491,0.19045440785473877,neo_v2,,ANXPE,0.009004541958382517
24,FS_R_Hippocampus,IDP (feature),0.12882858325540283,0.23019091789053014,0.07493319688390843,hamd_total,,ANXPE,0.01659680386359419
25,FS_R_Hippocampus,IDP (feature),0.04840956635853495,0.6882110267533168,0.5049040458576182,neo_v2,,ANXPE,0.0023434861150214426
26,FS_R_Amygdala,IDP (feature),0.041864342774933054,0.6018566776894829,0.5642406353338902,hamd_total,,ANXPE,0.00175262319597691
27,FS_R_Amygdala,IDP (feature),0.013684758093380938,0.8908131447823928,0.8505692431663832,neo_v2,,ANXPE,0.00018727260407447321
28,FS_R_Accumbens-area,IDP (feature),0.026544910172021683,0.7147534051893429,0.7147534051893429,hamd_total,,ANXPE,0.0007046322560406715
29,FS_R_Accumbens-area,IDP (feature),0.009971865939157186,0.8908131447823928,0.8908131447823928,neo_v2,,ANXPE,9.943811030854732e-05
30,FS_R_VentralDC,IDP (feature),0.139237294030478,0.23019091789053014,0.0540890294002212,hamd_total,,ANXPE,0.01938702404892989
31,FS_R_VentralDC,IDP (feature),0.08093742434073001,0.5973742683551491,0.26441766623445195,neo_v2,,ANXPE,0.0065508666589114695
