,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,26558-2.0,IDP (feature),-0.030178967105415774,0.18146947148751735,0.02268368393593967,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03283983164806625
1,26558-2.0,age,-0.1628154159337161,0.0,0.0,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03283983164806625
2,26558-2.0,sex,-0.08403962343641547,5.238278946409182e-13,2.9465319073551655e-13,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03283983164806625
3,26558-2.0,hm,0.029047120782840538,0.005368899150882456,0.004264900732926513,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03283983164806625
4,26558-2.0,FS_IntraCranial_Vol,0.016268264045182633,0.9862031763544872,0.2528188482638023,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03283983164806625
5,26558-2.0,site,-0.014167235115325779,0.179538067270975,0.16214341002491262,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03283983164806625
6,26558-2.0,IDP (feature),-0.016650453460400533,0.4926843408553161,0.20848879954431743,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03346330601905867
7,26558-2.0,age,-0.17394359905060744,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03346330601905867
8,26558-2.0,sex,-0.044768946418998055,0.00017228925337474922,9.955321891075286e-05,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03346330601905867
9,26558-2.0,hm,0.09772203823190066,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03346330601905867
10,26558-2.0,FS_IntraCranial_Vol,0.008464875531033447,0.9939909408257939,0.5516977805726859,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03346330601905867
11,26558-2.0,site,0.009744813837311682,0.3757843095634712,0.3361172304276998,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03346330601905867
12,26558-2.0,IDP (feature),-0.03204890269815815,0.11597169545674646,0.014496461932093307,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05240109699615847
13,26558-2.0,age,-0.2044366807449179,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05240109699615847
14,26558-2.0,sex,-0.07966974838803939,4.023932702197768e-12,2.766453732760965e-12,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05240109699615847
15,26558-2.0,hm,0.14525494428199556,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05240109699615847
16,26558-2.0,FS_IntraCranial_Vol,0.0410417887431418,0.02854044221292007,0.0035675552766150087,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05240109699615847
17,26558-2.0,site,0.02512754994069576,0.014698590192425254,0.012259545773614322,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05240109699615847
18,26559-2.0,IDP (feature),0.008713583249647175,0.8031365428404833,0.42741421930794243,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032443246602486986
19,26559-2.0,age,-0.15397718924093,0.0,0.0,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032443246602486986
20,26559-2.0,sex,-0.08537688076330457,3.701927653310122e-13,1.156852391659413e-13,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032443246602486986
21,26559-2.0,hm,0.02912275901457151,0.005368899150882456,0.004183743093475467,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032443246602486986
22,26559-2.0,FS_IntraCranial_Vol,-0.006684221848616661,0.9862031763544872,0.6054110625769704,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032443246602486986
23,26559-2.0,site,-0.013619902442771474,0.179538067270975,0.179538067270975,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032443246602486986
24,26559-2.0,IDP (feature),0.009053006562683598,0.5954997944746355,0.4094061087013119,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03338502424373213
25,26559-2.0,age,-0.16915626110506507,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03338502424373213
26,26559-2.0,sex,-0.04547267415506857,0.00017228925337474922,7.550555238267087e-05,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03338502424373213
27,26559-2.0,hm,0.09766091319977478,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03338502424373213
28,26559-2.0,FS_IntraCranial_Vol,-0.0063536536459148,0.9939909408257939,0.6231971967288112,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03338502424373213
29,26559-2.0,site,0.010230879233398655,0.3757843095634712,0.31311141276123045,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03338502424373213
30,26559-2.0,IDP (feature),0.0036921432751676033,0.8554057812418192,0.734072007785616,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051901921168836074
31,26559-2.0,age,-0.19493434210432992,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051901921168836074
32,26559-2.0,sex,-0.08113449229861257,3.5034832178228367e-12,1.0371703496048212e-12,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051901921168836074
33,26559-2.0,hm,0.145470004372935,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051901921168836074
34,26559-2.0,FS_IntraCranial_Vol,0.019490167250593653,0.16272330828450685,0.12807460869885512,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051901921168836074
35,26559-2.0,site,0.025467651735306858,0.014698590192425254,0.011242157314149681,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051901921168836074
36,26560-2.0,IDP (feature),-0.008697690377888749,0.8031365428404833,0.46383339801669576,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032435143152923174
37,26560-2.0,age,-0.15561032872590297,0.0,0.0,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032435143152923174
38,26560-2.0,sex,-0.08409708465001511,6.676368859468942e-13,5.24691401437849e-13,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032435143152923174
39,26560-2.0,hm,0.02963428448723381,0.005368899150882456,0.0035812845570830643,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032435143152923174
40,26560-2.0,FS_IntraCranial_Vol,0.0018084610726191233,0.9862031763544872,0.888767900321749,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032435143152923174
41,26560-2.0,site,-0.014301666742290145,0.179538067270975,0.15862095666979048,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032435143152923174
42,26560-2.0,IDP (feature),0.002944206296441009,0.8576701752982787,0.8040657893421364,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03333126362769745
43,26560-2.0,age,-0.16835204343430268,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03333126362769745
44,26560-2.0,sex,-0.04600220774480635,0.00017228925337474922,7.69124622859163e-05,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03333126362769745
45,26560-2.0,hm,0.097778547350298,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03333126362769745
46,26560-2.0,FS_IntraCranial_Vol,-0.003135740309488843,0.9939909408257939,0.8082957587165307,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03333126362769745
47,26560-2.0,site,0.009941217416527454,0.3757843095634712,0.3268940841557726,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03333126362769745
48,26560-2.0,IDP (feature),0.008731979448180119,0.6654602152882183,0.45750389801065006,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051939112509429286
49,26560-2.0,age,-0.1930342083811948,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051939112509429286
50,26560-2.0,sex,-0.08251916145826713,3.5034832178228367e-12,8.308909116294672e-13,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051939112509429286
51,26560-2.0,hm,0.14525784906554154,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051939112509429286
52,26560-2.0,FS_IntraCranial_Vol,0.017278802426543314,0.2023276795472757,0.17703671960386624,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051939112509429286
53,26560-2.0,site,0.02561269202333939,0.014698590192425254,0.010764927737435093,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051939112509429286
54,26561-2.0,IDP (feature),-0.0017704926466543226,0.8827170804338926,0.8827170804338926,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032390381360139164
55,26561-2.0,age,-0.15394786344910638,0.0,0.0,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032390381360139164
56,26561-2.0,sex,-0.0852717632853662,3.806478941571965e-13,1.6653345369377348e-13,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032390381360139164
57,26561-2.0,hm,0.02926231785023,0.005368899150882456,0.004036177085712467,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032390381360139164
58,26561-2.0,FS_IntraCranial_Vol,-0.0012741566097270091,0.9862031763544872,0.9245654778323318,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032390381360139164
59,26561-2.0,site,-0.013992974314532213,0.179538067270975,0.16745877205110027,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032390381360139164
60,26561-2.0,IDP (feature),-0.0033359140487862356,0.8576701752982787,0.7809363350182381,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03333263518354512
61,26561-2.0,age,-0.16925526294102897,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03333263518354512
62,26561-2.0,sex,-0.04521551376025162,0.00017228925337474922,9.037828570090944e-05,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03333263518354512
63,26561-2.0,hm,0.09774543638996396,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03333263518354512
64,26561-2.0,FS_IntraCranial_Vol,0.00010129851439667401,0.9939909408257939,0.9939909408257939,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03333263518354512
65,26561-2.0,site,0.00984729488115667,0.3757843095634712,0.3310824144528337,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03333263518354512
66,26561-2.0,IDP (feature),-0.00662803436437982,0.7691859484077004,0.5768894613057753,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05191860802648107
67,26561-2.0,age,-0.1954304535382835,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05191860802648107
68,26561-2.0,sex,-0.08050883447934926,3.83089115985058e-12,2.0126122990404838e-12,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05191860802648107
69,26561-2.0,hm,0.14529161449629027,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05191860802648107
70,26561-2.0,FS_IntraCranial_Vol,0.02505893054581818,0.1065933024077389,0.05995873260435314,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05191860802648107
