,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,26558-2.0,IDP (feature),-0.005303182848938562,0.5780956735971654,0.5780956735971654,N_12,,UKB,2.8123748329056397e-05
1,26558-2.0,IDP (feature),0.018646101563427414,0.1846329447020203,0.0505056568429314,rds,,UKB,0.00034767710351402137
2,26558-2.0,IDP (feature),0.016072605067390708,0.16329426298996175,0.09185302293185349,phq,,UKB,0.00025832863365227166
3,26559-2.0,IDP (feature),-0.021540896507857222,0.07635990149480634,0.02386246921712698,N_12,,UKB,0.0004640102223621989
4,26559-2.0,IDP (feature),-0.007349119722585498,0.5425982016732882,0.44086103885954664,rds,,UKB,5.4009560697232395e-05
5,26559-2.0,IDP (feature),-0.00950477519256999,0.3924308372728755,0.3188500552842113,phq,,UKB,9.034075146130416e-05
6,26560-2.0,IDP (feature),-0.010409551638110356,0.29328748537437643,0.2749570175384779,N_12,,UKB,0.00010835876530645994
7,26560-2.0,IDP (feature),0.017679765408442533,0.1846329447020203,0.06369797893056361,rds,,UKB,0.0003125741048976005
8,26560-2.0,IDP (feature),0.02275805452016515,0.05935216113515125,0.016985046255312053,phq,,UKB,0.0005179290455428198
9,26561-2.0,IDP (feature),-0.023552653497844692,0.07198028818646662,0.013496304034962492,N_12,,UKB,0.0005547274867897523
10,26561-2.0,IDP (feature),-0.008763713747016778,0.4773903079628514,0.35804273097213857,rds,,UKB,7.680267863996448e-05
11,26561-2.0,IDP (feature),-0.011849299291089079,0.3423513607765276,0.21396960048532976,phq,,UKB,0.00014040589368979894
12,26562-2.0,IDP (feature),0.016717043334132087,0.1575648984532931,0.07955031016676406,N_12,,UKB,0.00027945953783536925
13,26562-2.0,IDP (feature),0.01664930615785708,0.1846329447020203,0.08077691330713388,rds,,UKB,0.00027719939553827455
14,26562-2.0,IDP (feature),0.017234702095740417,0.15725083323298472,0.07066849786959328,phq,,UKB,0.00029703495632882326
15,26563-2.0,IDP (feature),0.012410561688834278,0.29328748537437643,0.19305587476696728,N_12,,UKB,0.00015402204143233345
16,26563-2.0,IDP (feature),0.023412222483442345,0.11249973554020443,0.014062466942525553,rds,,UKB,0.000548132161614534
17,26563-2.0,IDP (feature),0.029404725231777406,0.016314298243640835,0.0020392872804551043,phq,,UKB,0.0008646378659561416
18,26564-2.0,IDP (feature),0.047323925520624296,1.094588352046344e-05,6.84117720028965e-07,N_12,,UKB,0.0022395539266818476
19,26564-2.0,IDP (feature),0.039911273337272776,0.0004516431914183272,2.822769946364545e-05,rds,,UKB,0.001592909739402737
20,26564-2.0,IDP (feature),0.04791963084114675,7.91346114681346e-06,4.945913216758413e-07,phq,,UKB,0.0022962910199515463
21,26565-2.0,IDP (feature),-0.017655273399128507,0.14643707342451506,0.06406621962322534,N_12,,UKB,0.0003117086787979284
22,26565-2.0,IDP (feature),0.00011195285455189665,0.9906323213010386,0.9906323213010386,rds,,UKB,1.253344195095707e-08
23,26565-2.0,IDP (feature),-0.0034988999563558805,0.7612383150880035,0.7136609203950033,phq,,UKB,1.2242300904685699e-05
24,26589-2.0,IDP (feature),-0.016234337597525957,0.1575648984532931,0.08863025537997737,N_12,,UKB,0.00026355371723041365
25,26589-2.0,IDP (feature),0.01319448202204004,0.2958491774418112,0.16641516231101883,rds,,UKB,0.00017409435583026767
26,26589-2.0,IDP (feature),0.01040655846522596,0.3667934256233423,0.2750950692175067,phq,,UKB,0.00010829645909005148
27,26590-2.0,IDP (feature),-0.023970882182319988,0.07198028818646662,0.011927665654329234,N_12,,UKB,0.0005746031925987216
