,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,27143-2.0,IDP (feature),-0.033008706874526075,0.035605349335114625,0.004596385216892651,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03357368143286743
1,27143-2.0,age,-0.15418401875798612,0.0,0.0,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03357368143286743
2,27143-2.0,sex,-0.08285684350793211,2.7879705017100596e-12,1.5438761380437427e-12,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03357368143286743
3,27143-2.0,hm,0.02884208588643329,0.005821374041840416,0.002671787815213822,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03357368143286743
4,27143-2.0,FS_IntraCranial_Vol,0.014329786783863744,0.9863407046390373,0.2843415340070474,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03357368143286743
5,27143-2.0,site,-0.01436308705460918,0.14319820053542148,0.12800001262817862,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03357368143286743
6,27143-2.0,IDP (feature),-0.041667160667050514,0.0033454270157984526,0.00034423620783008424,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03490788474066364
7,27143-2.0,age,-0.16874657364015047,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03490788474066364
8,27143-2.0,sex,-0.04271044933096426,0.00046489587576505347,0.0002620280770775363,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03490788474066364
9,27143-2.0,hm,0.09253370689755597,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03490788474066364
10,27143-2.0,FS_IntraCranial_Vol,0.02000118485034071,0.8827881561573879,0.13482614838620122,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03490788474066364
11,27143-2.0,site,0.008164923357878563,0.44956272376584017,0.38657012557257553,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03490788474066364
12,27143-2.0,IDP (feature),-0.026253085049121144,0.10943970405732051,0.022894436616677893,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05135390112242033
13,27143-2.0,age,-0.19038455602663215,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05135390112242033
14,27143-2.0,sex,-0.07842964270871591,2.8632404623352777e-11,1.4205081555473953e-11,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05135390112242033
15,27143-2.0,hm,0.13559418659853303,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05135390112242033
16,27143-2.0,FS_IntraCranial_Vol,0.03420468249537697,0.05392884443935347,0.00990754686133588,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05135390112242033
17,27143-2.0,site,0.023518929652687513,0.014583978465086885,0.011893581583537927,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05135390112242033
18,27236-2.0,IDP (feature),-0.016323247120133267,0.2809108360063301,0.11409794696948605,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03308696136305456
19,27236-2.0,age,-0.1538394325396805,0.0,0.0,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03308696136305456
20,27236-2.0,sex,-0.08327406670924527,2.6999446854954083e-12,1.2048140263232199e-12,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03308696136305456
21,27236-2.0,hm,0.027667679026992843,0.005821374041840416,0.003946281487706926,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03308696136305456
22,27236-2.0,FS_IntraCranial_Vol,0.0018719707369533104,0.9863407046390373,0.8790954995395572,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03308696136305456
23,27236-2.0,site,-0.01457053138395716,0.14319820053542148,0.12272193953631128,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03308696136305456
24,27236-2.0,IDP (feature),-0.0037058914080614603,0.8064029983935482,0.719692998566285,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.033793734638395856
25,27236-2.0,age,-0.16781493182620058,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.033793734638395856
26,27236-2.0,sex,-0.04361316205229384,0.00046489587576505347,0.00019494904092387522,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.033793734638395856
27,27236-2.0,hm,0.09114931864398727,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.033793734638395856
28,27236-2.0,FS_IntraCranial_Vol,-0.002546907894109071,0.993159166712072,0.8359811466268412,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.033793734638395856
29,27236-2.0,site,0.008138568456471576,0.44956272376584017,0.3884335189302206,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.033793734638395856
30,27236-2.0,IDP (feature),-0.005998799553364276,0.7214853975918397,0.5577890331521591,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05093676670845504
31,27236-2.0,age,-0.189905240812503,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05093676670845504
32,27236-2.0,sex,-0.07891688181018137,2.8632404623352777e-11,1.0699885422127409e-11,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05093676670845504
33,27236-2.0,hm,0.13470066644577208,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05093676670845504
34,27236-2.0,FS_IntraCranial_Vol,0.021477047775922204,0.1334105996394843,0.07816526871191454,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05093676670845504
35,27236-2.0,site,0.02345126540096379,0.014583978465086885,0.012168846634122099,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05093676670845504
36,27144-2.0,IDP (feature),-0.0375636618343511,0.014469574207787606,0.0009335209166314584,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03383062373111412
37,27144-2.0,age,-0.15452597368937485,0.0,0.0,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03383062373111412
38,27144-2.0,sex,-0.08393676779918968,2.6479843958563485e-12,7.771561172376096e-13,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03383062373111412
39,27144-2.0,hm,0.02812458356150445,0.005821374041840416,0.003378730577777711,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03383062373111412
40,27144-2.0,FS_IntraCranial_Vol,0.016561905629570106,0.9863407046390373,0.21094052972673927,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03383062373111412
41,27144-2.0,site,-0.014304449352218524,0.14319820053542148,0.1295133146140912,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03383062373111412
42,27144-2.0,IDP (feature),-0.02223725737053117,0.11771354125322547,0.049996611607552754,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03411999204662841
43,27144-2.0,age,-0.16839644228123885,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03411999204662841
44,27144-2.0,sex,-0.04387290842738031,0.00046489587576505347,0.00017761908058577802,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03411999204662841
45,27144-2.0,hm,0.0913852273245225,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03411999204662841
46,27144-2.0,FS_IntraCranial_Vol,0.008554437860873934,0.993159166712072,0.5181092331483699,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03411999204662841
47,27144-2.0,site,0.0082130658845061,0.44956272376584017,0.383970625521838,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03411999204662841
48,27144-2.0,IDP (feature),-0.03274561508511185,0.05493717364232439,0.0035862945974820537,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051639116255014494
49,27144-2.0,age,-0.19074562806322515,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051639116255014494
50,27144-2.0,sex,-0.0793114264590412,2.8632404623352777e-11,8.240519377977762e-12,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051639116255014494
51,27144-2.0,hm,0.13505119887584335,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051639116255014494
52,27144-2.0,FS_IntraCranial_Vol,0.037605724200427765,0.0462943749127193,0.004148878723020832,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051639116255014494
53,27144-2.0,site,0.023568515657877074,0.014583978465086885,0.011703337419246784,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.051639116255014494
54,27237-2.0,IDP (feature),-0.04165171319233878,0.007535207031966307,0.00024307119457955828,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03405118156537967
55,27237-2.0,age,-0.15391195415648343,0.0,0.0,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03405118156537967
56,27237-2.0,sex,-0.084098045566893,2.6479843958563485e-12,6.996625501187737e-13,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03405118156537967
57,27237-2.0,hm,0.02840927203232262,0.005821374041840416,0.003069531143384152,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03405118156537967
58,27237-2.0,FS_IntraCranial_Vol,0.018985387533811453,0.9863407046390373,0.15198091445777728,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03405118156537967
59,27237-2.0,site,-0.014460262917827099,0.14319820053542148,0.1253490521890135,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03405118156537967
60,27237-2.0,IDP (feature),-0.025758995362668447,0.0654077923437268,0.023209216638096608,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03423518661344449
61,27237-2.0,age,-0.1680475567907458,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03423518661344449
62,27237-2.0,sex,-0.043980569374466635,0.00046489587576505347,0.00017113768457921452,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03423518661344449
63,27237-2.0,hm,0.09157086862110335,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03423518661344449
64,27237-2.0,FS_IntraCranial_Vol,0.010616050450428727,0.993159166712072,0.42304411134972053,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03423518661344449
65,27237-2.0,site,0.008117725901369012,0.44956272376584017,0.38948883229494147,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03423518661344449
66,27237-2.0,IDP (feature),-0.028778584520546067,0.08137145150706321,0.01049954212994364,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05147225265583888
67,27237-2.0,age,-0.1901105138099194,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05147225265583888
68,27237-2.0,sex,-0.07936871448604628,2.8632404623352777e-11,8.006040275176929e-12,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05147225265583888
69,27237-2.0,hm,0.13518241834298728,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05147225265583888
70,27237-2.0,FS_IntraCranial_Vol,0.035432721799893985,0.05392884443935347,0.0069810546737894,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05147225265583888
71,27237-2.0,site,0.02345387925618263,0.014583978465086885,0.0121253916014874,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05147225265583888
72,27145-2.0,IDP (feature),-0.012537980571610405,0.4264480382123021,0.24302952715324744,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032987253541110206
73,27145-2.0,age,-0.15437969898550546,0.0,0.0,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032987253541110206
74,27145-2.0,sex,-0.08207239646121711,4.785594806005961e-12,3.447686580670961e-12,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032987253541110206
75,27145-2.0,hm,0.027321492895228765,0.005821374041840416,0.004453983962957375,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032987253541110206
76,27145-2.0,FS_IntraCranial_Vol,0.00025496071070977205,0.9863407046390373,0.9835121135577285,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032987253541110206
77,27145-2.0,site,-0.014491965004375326,0.14319820053542148,0.124762611202341,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.032987253541110206
78,27145-2.0,IDP (feature),-0.010876106380467158,0.4210593522069901,0.310975313896257,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.033872632935930014
79,27145-2.0,age,-0.1685908257672384,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.033872632935930014
80,27145-2.0,sex,-0.04233814656024767,0.0004757759014165537,0.0003256416710919474,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.033872632935930014
81,27145-2.0,hm,0.09078834931906427,0.0,0.0,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.033872632935930014
82,27145-2.0,FS_IntraCranial_Vol,0.00027079869721935727,0.993159166712072,0.982480035887211,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.033872632935930014
83,27145-2.0,site,0.008061038643480395,0.44956272376584017,0.3929375762247056,rds,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.033872632935930014
84,27145-2.0,IDP (feature),-0.015889833598467105,0.310659531913148,0.13528721551056444,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05109967494221679
85,27145-2.0,age,-0.19102163065860406,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05109967494221679
86,27145-2.0,sex,-0.07706711034816151,5.168976650213757e-11,4.207123538435553e-11,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05109967494221679
87,27145-2.0,hm,0.13417668795896992,0.0,0.0,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05109967494221679
88,27145-2.0,FS_IntraCranial_Vol,0.025357683510727733,0.10057913458351837,0.0380142846519651,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05109967494221679
89,27145-2.0,site,0.023346141641013653,0.014583978465086885,0.012551388030209498,phq,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.05109967494221679
90,27238-2.0,IDP (feature),-0.011297394784619434,0.48896457652232783,0.3075744916833998,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03295894053485571
91,27238-2.0,age,-0.1541664431808718,0.0,0.0,N_12,"['age', 'sex', 'hm', 'FS_IntraCranial_Vol', 'site']",UKB,0.03295894053485571
