,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,27143-2.0,IDP (feature),-0.048787723005028955,2.2780204888839253e-06,3.061855495811727e-07,N_12,,UKB,0.002380241916015602
1,27143-2.0,IDP (feature),-0.03755156104183242,0.0008504501034386199,8.16305705229059e-05,rds,,UKB,0.0014101197366787055
2,27143-2.0,IDP (feature),-0.024839103363933683,0.023383691767190556,0.009177470424757583,phq,,UKB,0.0006169810559241151
3,27236-2.0,IDP (feature),-0.030664781163093673,0.0029778421192235794,0.0012968022132102686,N_12,,UKB,0.0009403288037804769
4,27236-2.0,IDP (feature),-0.01047055852763832,0.36949313994905064,0.2721535493173115,rds,,UKB,0.00010963259588092633
5,27236-2.0,IDP (feature),-0.011592066649693927,0.3206102010319998,0.22408239857075252,phq,,UKB,0.00013437600921084591
6,27144-2.0,IDP (feature),-0.048282034002178675,2.6920614614178717e-06,4.052565640844108e-07,N_12,,UKB,0.0023311548073877697
7,27144-2.0,IDP (feature),-0.024219393019953676,0.03269506279049835,0.011074134170975247,rds,,UKB,0.000586578998255094
8,27144-2.0,IDP (feature),-0.02881179296976043,0.008485717536497983,0.002509217551114995,phq,,UKB,0.0008301194141322465
9,27237-2.0,IDP (feature),-0.053658195893170973,2.228148876959324e-07,1.7876063074240278e-08,N_12,,UKB,0.0028792019865103713
10,27237-2.0,IDP (feature),-0.02894608016952848,0.009799343268750928,0.00239485307878029,rds,,UKB,0.000837875557180956
11,27237-2.0,IDP (feature),-0.02850770130332735,0.009100505709773974,0.0027868827070998137,phq,,UKB,0.0008126890335998782
12,27145-2.0,IDP (feature),-0.028013287299422013,0.006391312558663376,0.0032987419657617423,N_12,,UKB,0.0007847442653200476
13,27145-2.0,IDP (feature),-0.01438013250435182,0.21270223629346655,0.13150944717069168,rds,,UKB,0.00020678821084285648
14,27145-2.0,IDP (feature),-0.019529509865306664,0.07692025493372806,0.040527876255405104,phq,,UKB,0.0003814017555791027
15,27238-2.0,IDP (feature),-0.03142327777002363,0.002363102931917566,0.000979706842227257,N_12,,UKB,0.0009874223858119535
16,27238-2.0,IDP (feature),-0.021081379731242363,0.06283760192439596,0.027026925558879977,rds,,UKB,0.0004444245713731698
17,27238-2.0,IDP (feature),-0.028890256865669026,0.008410652423058078,0.0024418023163716995,phq,,UKB,0.0008346469417641611
18,27146-2.0,IDP (feature),-0.03411353515749842,0.001003721698783773,0.0003453666060331262,N_12,,UKB,0.001163733280941992
19,27146-2.0,IDP (feature),-0.01735843671093147,0.12901737657852452,0.06867053914663401,rds,,UKB,0.00030131532504773517
20,27146-2.0,IDP (feature),-0.01309787374646622,0.25027403695290096,0.16954047664551353,phq,,UKB,0.00017155429667847777
21,27239-2.0,IDP (feature),-0.03045736378773545,0.0031726673513283675,0.0013987028108006783,N_12,,UKB,0.0009276510088984669
22,27239-2.0,IDP (feature),-0.023225893372357295,0.03994146352400787,0.014845974296400222,rds,,UKB,0.0005394421229444335
23,27239-2.0,IDP (feature),-0.026570184534908052,0.015115887595740916,0.005319742011296036,phq,,UKB,0.0007059747062190258
24,27147-2.0,IDP (feature),-0.02812888229944814,0.006210316935304527,0.0031719360691071508,N_12,,UKB,0.0007912340194162759
25,27147-2.0,IDP (feature),-0.023303199152898524,0.03994146352400787,0.014516354741017201,rds,,UKB,0.0005430390907600335
26,27147-2.0,IDP (feature),-0.011352715487992167,0.33195310880130563,0.23379493146758623,phq,,UKB,0.00012888414895151357
27,27240-2.0,IDP (feature),-0.03743393569191844,0.00029600136626872775,8.593588052963064e-05,N_12,,UKB,0.0014012995413866802
28,27240-2.0,IDP (feature),-0.019052194119694374,0.09442373424911989,0.04568890366892897,rds,,UKB,0.000362986100774787
29,27240-2.0,IDP (feature),-0.024913172706710292,0.023176054513036098,0.008971375940530102,phq,,UKB,0.0006206661743144437
30,27148-2.0,IDP (feature),-0.045553497888223944,1.0196809514667615e-05,1.7542898089750736e-06,N_12,,UKB,0.002075121169852645
31,27148-2.0,IDP (feature),-0.04755290987708145,2.2475756572948314e-05,6.041870046491482e-07,rds,,UKB,0.00226127923777808
32,27148-2.0,IDP (feature),-0.044717451371915996,2.0125451218078185e-05,2.7050337658707235e-06,phq,,UKB,0.00199965045719952
33,27241-2.0,IDP (feature),-0.04102504940253437,7.419771647262534e-05,1.6754323074463784e-05,N_12,,UKB,0.0016830546784807332
34,27241-2.0,IDP (feature),-0.04289134922812052,0.00012624677421428922,6.78746097926286e-06,rds,,UKB,0.0018396678386088938
35,27241-2.0,IDP (feature),-0.032563027791451565,0.0026761339601218737,0.0006356876126034638,phq,,UKB,0.0010603507789469502
36,27149-2.0,IDP (feature),-0.033156433356353106,0.001360771013071715,0.0005048021500104749,N_12,,UKB,0.001099349072914313
37,27149-2.0,IDP (feature),-0.02493137167706781,0.02860992634693915,0.008921374882378874,rds,,UKB,0.0006215732937003837
38,27149-2.0,IDP (feature),-0.016806891292971214,0.1330100075314662,0.07794672484370868,phq,,UKB,0.00028247159493377527
39,27242-2.0,IDP (feature),-0.035313141402742526,0.0006675329995584961,0.00021174433856963049,N_12,,UKB,0.0012470179557303451
40,27242-2.0,IDP (feature),-0.02462009592280872,0.030416531642165068,0.009811784400698409,rds,,UKB,0.0006061491232486338
41,27242-2.0,IDP (feature),-0.022081003509845206,0.044986373738748704,0.020558289074159353,phq,,UKB,0.0004875707160018061
42,27173-2.0,IDP (feature),-0.05861682569238958,2.4676803267453806e-08,7.619609387887749e-10,N_12,,UKB,0.0034359322542523163
43,27173-2.0,IDP (feature),-0.0396163017068534,0.0004286061939167696,3.233850071904243e-05,rds,,UKB,0.0015694513609285643
44,27173-2.0,IDP (feature),-0.03131127336968845,0.003877555613759558,0.0010215065864205286,phq,,UKB,0.0009803958400311785
45,27266-2.0,IDP (feature),-0.05462725288271799,1.5271714925990665e-07,9.852719307090751e-09,N_12,,UKB,0.0029841367575126343
46,27266-2.0,IDP (feature),-0.030161854643538315,0.007238516277496843,0.001556670167203622,rds,,UKB,0.0009097374755382415
47,27266-2.0,IDP (feature),-0.02848338105852173,0.009100505709773974,0.002810258571916968,phq,,UKB,0.0008113029965249874
48,27150-2.0,IDP (feature),-0.024984889105543414,0.014705355110109892,0.008775776436678484,N_12,,UKB,0.0006242446836164373
49,27150-2.0,IDP (feature),-0.015400371874376125,0.18647288913949114,0.10626949596121538,rds,,UKB,0.000237171453869367
50,27150-2.0,IDP (feature),-0.02056885854189216,0.06065074590228928,0.03097753150923377,phq,,UKB,0.00042307794171625446
51,27243-2.0,IDP (feature),-0.03417728728598664,0.0009938605862047857,0.00033663019855323384,N_12,,UKB,0.0011680869662289428
52,27243-2.0,IDP (feature),-0.01884296776312527,0.09835500865877875,0.04811992359112294,rds,,UKB,0.00035505743412245216
53,27243-2.0,IDP (feature),-0.019863864733143364,0.07135973792418425,0.037214486981967054,phq,,UKB,0.00039457312213642126
54,27151-2.0,IDP (feature),-0.033527029373428954,0.0012484897063569195,0.0004363001661999988,N_12,,UKB,0.001124061698606904
55,27151-2.0,IDP (feature),-0.015959343570642735,0.17004640400411677,0.09416548178722595,rds,,UKB,0.0002547006472060076
56,27151-2.0,IDP (feature),-0.021368538484711742,0.05129195476957961,0.025009607552283875,phq,,UKB,0.0004566144369726466
57,27244-2.0,IDP (feature),-0.03324319641078071,0.0013346053234070513,0.0004879202257617177,N_12,,UKB,0.0011051101076058334
58,27244-2.0,IDP (feature),-0.018035377313957334,0.11226244771112827,0.05854547004290023,rds,,UKB,0.0003252748348571144
59,27244-2.0,IDP (feature),-0.01849722196975731,0.09589101969458308,0.05237498770820381,phq,,UKB,0.0003421472205982212
60,27152-2.0,IDP (feature),-0.034798460285088026,0.0008112060264506615,0.00026167936337118114,N_12,,UKB,0.0012109328382130524
61,27152-2.0,IDP (feature),-0.019492261944399087,0.08550153209320399,0.04091202342094169,rds,,UKB,0.0003799482757094186
62,27152-2.0,IDP (feature),-0.021948826376302064,0.046127332092862024,0.021327691182721153,phq,,UKB,0.00048175097929703536
63,27245-2.0,IDP (feature),-0.04294184450715935,3.1713971082011264e-05,6.620132349866026e-06,N_12,,UKB,0.0018440020096771592
64,27245-2.0,IDP (feature),-0.028081743567156026,0.012234625448628791,0.0032231002525957564,rds,,UKB,0.000788584321771757
65,27245-2.0,IDP (feature),-0.022870988087177635,0.037302794624092174,0.016445318060083647,phq,,UKB,0.0005230820960837601
66,27153-2.0,IDP (feature),-0.019171550615123132,0.059165358636339295,0.044349029392981576,N_12,,UKB,0.00036754835298813404
67,27153-2.0,IDP (feature),-0.009265568187179295,0.433801915885474,0.33118210782654467,rds,,UKB,8.585075383149565e-05
68,27153-2.0,IDP (feature),-0.011624012847088586,0.3206102010319998,0.22280820968157466,phq,,UKB,0.00013511767466933833
69,27246-2.0,IDP (feature),-0.021433283721415855,0.03598911349632414,0.024573211903404113,N_12,,UKB,0.00045938565108250007
70,27246-2.0,IDP (feature),-0.011003165115454105,0.3475392020273555,0.24850921435289397,rds,,UKB,0.00012106964255820252
71,27246-2.0,IDP (feature),-0.015535594736997121,0.16992472509710044,0.10323383836544275,phq,,UKB,0.00024135470383213065
72,27154-2.0,IDP (feature),-0.05095600533629583,8.297148414992962e-07,8.921664962358022e-08,N_12,,UKB,0.002596514479832779
73,27154-2.0,IDP (feature),-0.03505072307177443,0.0017959344432798298,0.00023596532996217334,rds,,UKB,0.0012285531878544198
74,27154-2.0,IDP (feature),-0.0341793600018683,0.0016463430734388986,0.0003363496601649363,phq,,UKB,0.0011682286501373262
75,27247-2.0,IDP (feature),-0.0544901922801695,1.5345651272779239e-07,1.0725455190652156e-08,N_12,,UKB,0.002969181054730319
