,IDP_name,regressor,coef_,p_fdr,p_raw,score (R2),phenotype,confounds,Dataset,data type
0,lh_caudalanteriorcingulate_area,IDP (dkt),-0.023389906215934005,0.5212211106632648,0.43154866151689664,0.0005470877127902174,neo_n,,HCP_Aging,dkt
1,lh_caudalanteriorcingulate_area,IDP (dkt),-0.07176074363988656,0.050868447373698916,0.015695499326706885,0.0051496043277492465,sadRawScore,,HCP_Aging,dkt
2,lh_caudalanteriorcingulate_thickness,IDP (dkt),0.14663033028810724,2.8954151920694744e-06,7.160704238451387e-07,0.02150045376039944,neo_n,,HCP_Aging,dkt
3,lh_caudalanteriorcingulate_thickness,IDP (dkt),0.025551332230857354,0.5221412891238806,0.39020236122698604,0.0006528705787716138,sadRawScore,,HCP_Aging,dkt
4,lh_caudalanteriorcingulate_volume,IDP (dkt),0.0545267984600118,0.10579421826246455,0.06654797600380835,0.002973171750298653,neo_n,,HCP_Aging,dkt
5,lh_caudalanteriorcingulate_volume,IDP (dkt),-0.038730929404003196,0.30114043977963484,0.19266512007406744,0.001500084892497644,sadRawScore,,HCP_Aging,dkt
6,lh_caudalmiddlefrontal_area,IDP (dkt),-0.005487395334327913,0.893456810981172,0.8536184101152802,3.0111507555163897e-05,neo_n,,HCP_Aging,dkt
7,lh_caudalmiddlefrontal_area,IDP (dkt),-0.08199697019950548,0.023606136609247173,0.0057513927966299505,0.006723503121898511,sadRawScore,,HCP_Aging,dkt
8,lh_caudalmiddlefrontal_thickness,IDP (dkt),0.16845313727214709,6.992985790432726e-08,1.1654976317387877e-08,0.028376459456828762,neo_n,,HCP_Aging,dkt
9,lh_caudalmiddlefrontal_thickness,IDP (dkt),-0.003931010826285125,0.9246760845272641,0.894847823736062,1.54528461161485e-05,sadRawScore,,HCP_Aging,dkt
10,lh_caudalmiddlefrontal_volume,IDP (dkt),0.08538679909111319,0.008604870901724999,0.004024858970161693,0.00729090545902622,neo_n,,HCP_Aging,dkt
11,lh_caudalmiddlefrontal_volume,IDP (dkt),-0.08164397786399688,0.023606136609247173,0.005964991508788264,0.006665739121456737,sadRawScore,,HCP_Aging,dkt
12,lh_cuneus_area,IDP (dkt),-0.0017837527083549441,0.9677849767729257,0.952175541663685,3.181773724603154e-06,neo_n,,HCP_Aging,dkt
13,lh_cuneus_area,IDP (dkt),-0.08663512740085452,0.020449376018092935,0.0035181722181665265,0.007505645299762276,sadRawScore,,HCP_Aging,dkt
14,lh_cuneus_thickness,IDP (dkt),0.14487389615469293,3.5501063520538377e-06,9.734162578212135e-07,0.020988445787040733,neo_n,,HCP_Aging,dkt
15,lh_cuneus_thickness,IDP (dkt),-0.007400728515108878,0.8723159386554866,0.8034865288133162,5.4770782554225406e-05,sadRawScore,,HCP_Aging,dkt
16,lh_cuneus_volume,IDP (dkt),0.0597551519472993,0.07362257878408474,0.044331875396868226,0.0035706781842448354,neo_n,,HCP_Aging,dkt
17,lh_cuneus_volume,IDP (dkt),-0.08180117917385965,0.023606136609247173,0.0058690011957942545,0.006691432914233797,sadRawScore,,HCP_Aging,dkt
18,lh_entorhinal_area,IDP (dkt),-0.029513203854594258,0.43256607488869936,0.3209361200787124,0.0008710292017629628,neo_n,,HCP_Aging,dkt
19,lh_entorhinal_area,IDP (dkt),-0.022831465762738853,0.5677868597812051,0.4426295412272836,0.0005212758288748454,sadRawScore,,HCP_Aging,dkt
20,lh_entorhinal_thickness,IDP (dkt),0.11978429145039686,0.0001493189708084279,5.29841509320228e-05,0.014348276478273636,neo_n,,HCP_Aging,dkt
21,lh_entorhinal_thickness,IDP (dkt),0.0052825929564725696,0.9109976505932706,0.8590234669076087,2.7905788343662863e-05,sadRawScore,,HCP_Aging,dkt
22,lh_entorhinal_volume,IDP (dkt),0.019033620194657087,0.6186066203016416,0.5221572010072997,0.00036227869771443544,neo_n,,HCP_Aging,dkt
23,lh_entorhinal_volume,IDP (dkt),-0.014121734759560616,0.7474172222247538,0.6349028016747909,0.0001994233926192468,sadRawScore,,HCP_Aging,dkt
24,lh_fusiform_area,IDP (dkt),0.03739611680328875,0.29826077842258475,0.20846183438137644,0.00139846955196532,neo_n,,HCP_Aging,dkt
25,lh_fusiform_area,IDP (dkt),-0.08909578847932847,0.018384770688855707,0.0026853765120633533,0.007938059524753127,sadRawScore,,HCP_Aging,dkt
26,lh_fusiform_thickness,IDP (dkt),0.15909401217679506,3.396379062325927e-07,7.304040994249306e-08,0.02531090471051034,neo_n,,HCP_Aging,dkt
27,lh_fusiform_thickness,IDP (dkt),-0.016144053879409672,0.7046834568249206,0.5872362140207672,0.00026063047566116104,sadRawScore,,HCP_Aging,dkt
28,lh_fusiform_volume,IDP (dkt),0.08467908347420024,0.009071501625304528,0.004340664756194101,0.007170547178030451,neo_n,,HCP_Aging,dkt
29,lh_fusiform_volume,IDP (dkt),-0.08903385192143692,0.018384770688855707,0.002703913224067156,0.007927026787968194,sadRawScore,,HCP_Aging,dkt
