,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,FS_L_Thalamus-Proper,IDP (feature),-0.03755518150966612,0.47655327505050593,0.27282512668271197,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.01971571999316113
1,FS_L_Thalamus-Proper,hm,0.01076665270637211,0.780386612102995,0.7584175990660014,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.01971571999316113
2,FS_L_Thalamus-Proper,age,-0.05802978943178216,0.08944927135506742,0.08035430474080085,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.01971571999316113
3,FS_L_Thalamus-Proper,sex,-0.12695119566583227,0.0045891026312763206,0.004256170968849338,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.01971571999316113
4,FS_L_Thalamus-Proper,FS_IntraCranial_Vol,-0.006311015974885034,0.9561378404713883,0.8831843632328344,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.01971571999316113
5,FS_L_Thalamus-Proper,IDP (feature),-0.003770749635591813,0.9129864461283081,0.9129864461283081,Sadness,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.004133061572279106
6,FS_L_Thalamus-Proper,hm,-0.007163661310511197,0.8565545194707189,0.8391098781567963,Sadness,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.004133061572279106
7,FS_L_Thalamus-Proper,age,-0.04588563053633588,0.18070771902174698,0.1699836886453001,Sadness,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.004133061572279106
8,FS_L_Thalamus-Proper,sex,-0.05921426529275487,0.21207950820368104,0.18514111959166257,Sadness,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.004133061572279106
9,FS_L_Thalamus-Proper,FS_IntraCranial_Vol,0.05034458038595604,0.2919623059845251,0.24502788102922968,Sadness,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.004133061572279106
10,FS_L_Caudate,IDP (feature),-0.06041315673829359,0.47655327505050593,0.07025359793876662,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.021868831580681314
11,FS_L_Caudate,hm,0.009749730663235565,0.780386612102995,0.780386612102995,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.021868831580681314
12,FS_L_Caudate,age,-0.06013019497811569,0.08944927135506742,0.06997731145532504,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.021868831580681314
13,FS_L_Caudate,sex,-0.1288212644395026,0.0045891026312763206,0.0036462017390719303,Neuroticism,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol']",HCP_YA,0.021868831580681314
