,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,lh_caudalanteriorcingulate_area,IDP (feature),-0.06611262408362448,0.08393508303192973,0.04162256243059281,Neuroticism,,HCP_YA,0.0043708790632227545
1,lh_caudalanteriorcingulate_area,IDP (feature),-0.013253655729677538,0.9578824207693563,0.6832845467601389,Sadness,,HCP_YA,0.0001756593902009218
2,lh_caudalanteriorcingulate_thickness,IDP (feature),0.010344993613354342,0.7838636110820147,0.7501490471645087,Neuroticism,,HCP_YA,0.00010701889286035549
3,lh_caudalanteriorcingulate_thickness,IDP (feature),0.030091203194527003,0.8339533763853619,0.35420600394862145,Sadness,,HCP_YA,0.0009054805096943008
4,lh_caudalanteriorcingulate_volume,IDP (feature),-0.04971074857807197,0.19132620199595896,0.12574033348938984,Neuroticism,,HCP_YA,0.0024711585241923295
5,lh_caudalanteriorcingulate_volume,IDP (feature),-0.008440567765047842,0.9769164077161353,0.7950042574236473,Sadness,,HCP_YA,7.124318419649e-05
6,lh_caudalmiddlefrontal_area,IDP (feature),-0.06423021395653022,0.09072172235935093,0.04779961715707737,Neuroticism,,HCP_YA,0.004125520384901771
7,lh_caudalmiddlefrontal_area,IDP (feature),0.0346458406459748,0.8339533763853619,0.2860753197136894,Sadness,,HCP_YA,0.0012003342740664058
8,lh_caudalmiddlefrontal_thickness,IDP (feature),0.08377443700463102,0.033336780768652007,0.009787604126150207,Neuroticism,,HCP_YA,0.00701815629544289
9,lh_caudalmiddlefrontal_thickness,IDP (feature),0.09950301123066987,0.11224365971485772,0.0021371946304451495,Sadness,,HCP_YA,0.009900849243970722
10,lh_caudalmiddlefrontal_volume,IDP (feature),-0.03451325806872738,0.37190225060892385,0.28792432305207005,Neuroticism,,HCP_YA,0.0011911649825185888
11,lh_caudalmiddlefrontal_volume,IDP (feature),0.05842578416220151,0.4524846592530056,0.0718653049927751,Sadness,,HCP_YA,0.003413572254968078
12,lh_cuneus_area,IDP (feature),-0.14735328113948595,0.0005007934718608276,5.099045940148983e-06,Neuroticism,,HCP_YA,0.021712989462572385
13,lh_cuneus_area,IDP (feature),-0.047832427947492005,0.6230911746214517,0.14069800717258585,Sadness,,HCP_YA,0.0022879411633520697
